#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,15,3837,0.00101533749630949,0.0639662622674979,"Q9SHH6, Q9SHH7, A0A178WJZ2, P0DN99, O22693, Q42059, Q9FHN4, Q9LIB9, Q8LAX0, Q9LTZ0, Q9SMU8, Q9SI16, O82200, Q9ZPH4, Q9C5M8",,Q9SHH6; Q9SHH7; A0A178WJZ2; P0DN99; O22693; Q42059; Q9FHN4; Q9LIB9; Q8LAX0; Q9LTZ0; Q9SMU8; Q9SI16; O82200; Q9ZPH4; Q9C5M8
Toxoplasmosis,n/a,map05145,1,81,0.11891110643071,0.187284992628369,O49717,,O49717
Drug metabolism - other enzymes,n/a,map00983,2,141,0.0208331584657595,0.109374081945237,"Q9SHH6, Q9SHH7",,Q9SHH6; Q9SHH7
Zeatin biosynthesis,n/a,map00908,1,59,0.0884632843401867,0.182727439784648,Q9FUJ2,,Q9FUJ2
Longevity regulating pathway,n/a,map04211,1,65,0.0968695345666318,0.184932747809024,Q8RWC9,,Q8RWC9
Cysteine and methionine metabolism,n/a,map00270,1,201,0.268028793311547,0.281430232977124,Q8LAX0,,Q8LAX0
Pathways in cancer,n/a,map05200,2,283,0.0721411155579356,0.181795611205998,"Q9SHH6, Q9SHH7",,Q9SHH6; Q9SHH7
FoxO signaling pathway,n/a,map04068,1,90,0.131073482051481,0.18983056021249,Q8RWC9,,Q8RWC9
Gastric cancer,n/a,map05226,1,54,0.0813986568248988,0.179933872981355,Q9LSJ5,,Q9LSJ5
MicroRNAs in cancer,n/a,map05206,1,95,0.13775804745004,0.192861266430055,Q9LSJ5,,Q9LSJ5
"Cutin, suberine and wax biosynthesis",n/a,map00073,1,52,0.0785575806156674,0.183301021436557,Q9FFQ7,,Q9FFQ7
ABC transporters,n/a,map02010,1,35,0.0540528392333213,0.170266443584962,Q9LSJ5,,Q9LSJ5
Bile secretion,n/a,map04976,1,32,0.0496616744457708,0.178782028004775,Q9LSJ5,,Q9LSJ5
Hepatocellular carcinoma,n/a,map05225,2,119,0.0152288113334694,0.0872195558189612,"Q9SHH6, Q9SHH7",,Q9SHH6; Q9SHH7
Thermogenesis,n/a,map04714,1,259,0.330817245170459,0.341663712225228,Q8RWC9,,Q8RWC9
Longevity regulating pathway - multiple species,n/a,map04213,1,73,0.107958034342928,0.188926560100125,Q8RWC9,,Q8RWC9
Apelin signaling pathway,n/a,map04371,1,69,0.102430816540655,0.184375469773179,Q8RWC9,,Q8RWC9
Axon regeneration,n/a,map04361,1,87,0.127038026666152,0.190557039999228,Q8RWC9,,Q8RWC9
Fluid shear stress and atherosclerosis,n/a,map05418,3,197,0.00379381565628552,0.0796701287819959,"Q9SHH6, Q9SHH7, Q8RWC9",,Q9SHH6; Q9SHH7; Q8RWC9
Insulin signaling pathway,n/a,map04910,1,135,0.18942542627734,0.225166072744763,Q8RWC9,,Q8RWC9
Oxytocin signaling pathway,n/a,map04921,1,79,0.11618544445043,0.187684179496848,Q8RWC9,,Q8RWC9
Glucagon signaling pathway,n/a,map04922,1,133,0.186916786913727,0.22645687645317,Q8RWC9,,Q8RWC9
RNA transport,n/a,map03013,1,285,0.357195815314958,0.362957038142618,Q9SRU3,,Q9SRU3
Glycerophospholipid metabolism,n/a,map00564,1,164,0.224947299300672,0.244339307861074,Q9FLM1,,Q9FLM1
Circadian rhythm,n/a,map04710,1,60,0.0898697112658063,0.176930994054556,Q8RWC9,,Q8RWC9
Quorum sensing,n/a,map02024,2,115,0.0142917649207752,0.0947769673693516,"Q9LTZ0, Q9C5M8",,Q9LTZ0; Q9C5M8
Tight junction,n/a,map04530,1,98,0.141744208605152,0.192040540690851,Q8RWC9,,Q8RWC9
Pentose and glucuronate interconversions,n/a,map00040,3,152,0.00184949079665054,0.058258960094492,"Q9FHN4, Q9LTZ0, Q9C5M8",,Q9FHN4; Q9LTZ0; Q9C5M8
Galactose metabolism,n/a,map00052,2,96,0.010203033043344,0.0918272973900958,"O22693, Q9LIB9",,O22693; Q9LIB9
mTOR signaling pathway,n/a,map04150,1,103,0.148347117465566,0.194705591673555,Q8RWC9,,Q8RWC9
Two-component system,n/a,map02020,2,99,0.0108079338072813,0.0851124787323401,"Q42059, Q9FHN4",,Q42059; Q9FHN4
Non-alcoholic fatty liver disease (NAFLD),n/a,map04932,1,160,0.220141360028184,0.243314134767993,Q8RWC9,,Q8RWC9
Glutathione metabolism,n/a,map00480,2,172,0.0299425294156352,0.134741382370359,"Q9SHH6, Q9SHH7",,Q9SHH6; Q9SHH7
Insulin resistance,n/a,map04931,1,75,0.110708934125861,0.185991009331446,Q8RWC9,,Q8RWC9
Sphingolipid metabolism,n/a,map00600,1,37,0.0569690641941275,0.163138683828638,Q9ZPH4,,Q9ZPH4
Inositol phosphate metabolism,n/a,map00562,1,127,0.179344438763136,0.221543130236815,O82200,,O82200
Platinum drug resistance,n/a,map01524,2,115,0.0142917649207752,0.0947769673693516,"Q9SHH6, Q9SHH7",,Q9SHH6; Q9SHH7
Herpes simplex virus 1 infection,n/a,map05168,1,82,0.120270800417632,0.184806351861239,Q9SRU3,,Q9SRU3
Adipocytokine signaling pathway,n/a,map04920,1,36,0.055512071249144,0.166536213747432,Q8RWC9,,Q8RWC9
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,2,89,0.00885267234541018,0.111543671552168,"Q9SHH6, Q9SHH7",,Q9SHH6; Q9SHH7
Drug metabolism - cytochrome P450,n/a,map00982,2,92,0.00942084720279548,0.0989188956293526,"Q9SHH6, Q9SHH7",,Q9SHH6; Q9SHH7
Chemical carcinogenesis,n/a,map05204,2,84,0.00794135317555774,0.125076312515034,"Q9SHH6, Q9SHH7",,Q9SHH6; Q9SHH7
Sesquiterpenoid and triterpenoid biosynthesis,n/a,map00909,1,30,0.0467229729696831,0.183971706068127,Q9T0J9,,Q9T0J9
Hypertrophic cardiomyopathy (HCM),n/a,map05410,1,14,0.0228856321062988,0.110907294053602,Q8RWC9,,Q8RWC9
