#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
"Valine, leucine and isoleucine degradation",n/a,map00280,1,90,0.387858872322733,0.441288410856987,Q9SR86,,Q9SR86
Sulfur metabolism,n/a,map00920,1,71,0.321783714964745,0.40313353054572,Q93WN0,,Q93WN0
Plant hormone signal transduction,n/a,map04075,5,496,0.202009558232129,0.290633106359773,"Q9M7Q5, Q9LNW3, O81888, Q9ZWS7, O65694",,Q9M7Q5; Q9LNW3; O81888; Q9ZWS7; O65694
Regulation of actin cytoskeleton,n/a,map04810,2,119,0.138445711337354,0.246003136479919,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Bacterial invasion of epithelial cells,n/a,map05100,1,48,0.232201041745081,0.313823226116079,O82480,,O82480
Pathogenic Escherichia coli infection,n/a,map05130,3,152,0.0517588954176578,0.159203223146727,"Q9LQQ9, F4IRU3, O82480",,Q9LQQ9; F4IRU3; O82480
Shigellosis,n/a,map05131,3,241,0.145055527159679,0.248826019666219,"Q9SRZ0, Q9LQQ9, O82480",,Q9SRZ0; Q9LQQ9; O82480
Salmonella infection,n/a,map05132,3,230,0.131545912129902,0.238493808170472,"Q9LQQ9, O82480, Q9XIF4",,Q9LQQ9; O82480; Q9XIF4
Fc gamma R-mediated phagocytosis,n/a,map04666,2,106,0.115157080380502,0.215798562393714,"Q9LQQ9, O82480",,Q9LQQ9; O82480
"Glycine, serine and threonine metabolism",n/a,map00260,3,123,0.0309643801605825,0.138101135516198,"Q9SR86, Q9SA18, Q9S702",,Q9SR86; Q9SA18; Q9S702
Phenylpropanoid biosynthesis,n/a,map00940,8,280,0.000191344852587761,0.00533373776588383,"Q9SMU8, Q9SI16, Q9FIW4, O22862, O64882, Q9LDA4, O80912, Q9LZJ1",,Q9SMU8; Q9SI16; Q9FIW4; O22862; O64882; Q9LDA4; O80912; Q9LZJ1
Starch and sucrose metabolism,n/a,map00500,7,276,0.000941474139162517,0.0123499254725436,"Q9LIB9, Q9FIW4, O64882, Q9SU39, Q9STW8, Q42059, Q9LZJ1",,Q9LIB9; Q9FIW4; O64882; Q9SU39; Q9STW8; Q42059; Q9LZJ1
Cyanoamino acid metabolism,n/a,map00460,3,104,0.020332584058434,0.111954722099526,"Q9FIW4, O64882, Q9LZJ1",,Q9FIW4; O64882; Q9LZJ1
Hedgehog signaling pathway,n/a,map04340,1,48,0.232201041745081,0.313823226116079,Q9SRZ0,,Q9SRZ0
Hedgehog signaling pathway - fly,n/a,map04341,2,81,0.0738909071161459,0.175294386030857,"Q9SRZ0, Q2QAV0",,Q9SRZ0; Q2QAV0
MAPK signaling pathway - plant,n/a,map04016,4,238,0.0425893124682379,0.139667892359074,"Q9LNW3, O81888, Q9LSF1, Q9LW27",,Q9LNW3; O81888; Q9LSF1; Q9LW27
Plant-pathogen interaction,n/a,map04626,2,339,0.706710869797418,0.722919834701029,"O81888, Q9LIK5",,O81888; Q9LIK5
Cell cycle,n/a,map04110,4,206,0.0274328067564754,0.127448248056125,"Q9SRZ0, Q9C701, O22806, Q39071",,Q9SRZ0; Q9C701; O22806; Q39071
Cell cycle - yeast,n/a,map04111,4,167,0.0140777537364473,0.101269002684766,"Q9SRZ0, Q9LQQ9, Q9C701, O22806",,Q9SRZ0; Q9LQQ9; Q9C701; O22806
Meiosis - yeast,n/a,map04113,1,126,0.495936568856787,0.531701225264729,O22806,,O22806
Oocyte meiosis,n/a,map04114,3,189,0.0857062369297108,0.189232582527975,"Q9SRZ0, Q9LQQ9, O22806",,Q9SRZ0; Q9LQQ9; O22806
Ubiquitin mediated proteolysis,n/a,map04120,1,252,1,1.0045045045045,Q9SRZ0,,Q9SRZ0
Viral carcinogenesis,n/a,map05203,4,227,0.0369420824612876,0.147108649801199,"Q8LRK8, Q9LQQ9, O82480, Q39071",,Q8LRK8; Q9LQQ9; O82480; Q39071
Human T-cell leukemia virus 1 infection,n/a,map05166,3,168,0.0654759175208176,0.16592192735389,"Q9LQQ9, Q9C701, Q39071",,Q9LQQ9; Q9C701; Q39071
Type I diabetes mellitus,n/a,map04940,1,19,0.102224358280622,0.203535999076595,Q9LSH2,,Q9LSH2
Tuberculosis,n/a,map05152,1,129,0.504032137435522,0.535234126895816,Q9LQQ9,,Q9LQQ9
Longevity regulating pathway - worm,n/a,map04212,5,180,0.00342499477155906,0.0363701825741748,"Q9SHH6, Q9SHH7, Q39152, Q8L7C9, Q96324",,Q9SHH6; Q9SHH7; Q39152; Q8L7C9; Q96324
Protein processing in endoplasmic reticulum,n/a,map04141,2,364,0.724953154941009,0.738194308455914,"Q9SRZ0, F4ICD9",,Q9SRZ0; F4ICD9
Huntington disease,n/a,map05016,1,437,0.735920211129201,0.745955486735508,Q9FHY0,,Q9FHY0
Sphingolipid signaling pathway,n/a,map04071,2,119,0.138445711337354,0.246003136479919,"Q9LQQ9, O82480",,Q9LQQ9; O82480
PI3K-Akt signaling pathway,n/a,map04151,3,155,0.0542135178729047,0.157007980333217,"Q9LQQ9, Q8RWC9, O82480",,Q9LQQ9; Q8RWC9; O82480
AMPK signaling pathway,n/a,map04152,2,141,0.179796986506605,0.280382713223587,"Q8RWC9, Q39071",,Q8RWC9; Q39071
Human papillomavirus infection,n/a,map05165,2,212,0.319658001168921,0.402732961924686,"Q9LQQ9, Q39071",,Q9LQQ9; Q39071
Adrenergic signaling in cardiomyocytes,n/a,map04261,1,81,0.3574021620254,0.421696730855367,Q9LQQ9,,Q9LQQ9
Peroxisome,n/a,map04146,2,144,0.185576202305588,0.276812662970877,"Q9FPH4, Q39152",,Q9FPH4; Q39152
cAMP signaling pathway,n/a,map04024,2,97,0.0996986502153835,0.203970633009454,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Carbon metabolism,n/a,map01200,1,480,0.529198880305494,0.554043898160212,Q9S7A0,,Q9S7A0
MAPK signaling pathway - yeast,n/a,map04011,1,78,0.346917347809649,0.423904485268777,Q9LQQ9,,Q9LQQ9
Hepatitis C,n/a,map05160,1,66,0.303241989825607,0.3853160326559,Q9LQQ9,,Q9LQQ9
NOD-like receptor signaling pathway,n/a,map04621,3,117,0.0273466584169533,0.129751166531502,"Q9LQQ9, Q9FJV7, Q9XIF4",,Q9LQQ9; Q9FJV7; Q9XIF4
Neurotrophin signaling pathway,n/a,map04722,2,84,0.0785464137794997,0.176927780533621,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Circadian rhythm - plant,n/a,map04712,2,71,0.0590702142485335,0.155889441152934,"Q39057, Q6LA42",,Q39057; Q6LA42
Epstein-Barr virus infection,n/a,map05169,3,154,0.0533891870561759,0.156655114651674,"Q9FHY0, O82480, Q39071",,Q9FHY0; O82480; Q39071
Pyrimidine metabolism,n/a,map00240,1,98,0.413719256527631,0.460146604517016,A0A178WJZ2,,A0A178WJZ2
Autophagy - animal,n/a,map04140,2,145,0.187508484280496,0.276916503275169,"Q9LQQ9, Q8RWC9",,Q9LQQ9; Q8RWC9
Nitrogen metabolism,n/a,map00910,1,79,0.350431128745386,0.422411576812006,Q9S7A0,,Q9S7A0
Parkinson disease,n/a,map05012,3,411,0.491420720759676,0.529404931059941,"Q9FHY0, Q9FJV7, Q9XIF4",,Q9FHY0; Q9FJV7; Q9XIF4
Prion diseases,n/a,map05020,1,20,0.107052331952928,0.206689783770587,Q9LQQ9,,Q9LQQ9
Brassinosteroid biosynthesis,n/a,map00905,1,15,0.0826504157978316,0.184310427229164,Q94IA6,,Q94IA6
Glucosinolate biosynthesis,n/a,map00966,10,47,6.49324202945529E-13,1.44799297256853E-10,"Q9FZ80, Q9FMT1, Q9FN52, Q9LE06, Q9LYT7, Q9ZW84, Q94AR8, Q9FUY7, Q9FG67, Q501D8",,Q9FZ80; Q9FMT1; Q9FN52; Q9LE06; Q9LYT7; Q9ZW84; Q94AR8; Q9FUY7; Q9FG67; Q501D8
2-Oxocarboxylic acid metabolism,n/a,map01210,10,126,4.37044862589794E-09,3.2487001452508E-07,"Q9FMT1, Q9FN52, Q9S702, Q9LE06, Q9LYT7, Q9ZW84, Q94AR8, Q9FUY7, Q9FG67, Q501D8",,Q9FMT1; Q9FN52; Q9S702; Q9LE06; Q9LYT7; Q9ZW84; Q94AR8; Q9FUY7; Q9FG67; Q501D8
Toxoplasmosis,n/a,map05145,1,81,0.3574021620254,0.421696730855367,Q9LQQ9,,Q9LQQ9
Drug metabolism - other enzymes,n/a,map00983,4,141,0.00805836840309397,0.0748756730787482,"Q9SHH6, Q9SHH7, Q8L7C9, Q96324",,Q9SHH6; Q9SHH7; Q8L7C9; Q96324
Amino sugar and nucleotide sugar metabolism,n/a,map00520,3,249,0.155153843937538,0.258203785060231,"O81862, Q9SRW9, O64749",,O81862; Q9SRW9; O64749
Zeatin biosynthesis,n/a,map00908,4,59,0.000383648690846762,0.00855536580588279,"Q9SCP5, Q9FUJ2, Q9ZW95, Q94ID1",,Q9SCP5; Q9FUJ2; Q9ZW95; Q94ID1
Alzheimer disease,n/a,map05010,3,426,0.504659466561753,0.533360478878062,"Q9FHY0, Q9LQQ9, Q9FJV7",,Q9FHY0; Q9LQQ9; Q9FJV7
Spinocerebellar ataxia,n/a,map05017,1,183,0.62944374491421,0.649842384795689,Q9FHY0,,Q9FHY0
Biosynthesis of amino acids,n/a,map01230,3,419,0.498422841389651,0.531810017367905,"Q9SA18, Q9S702, Q94AR8",,Q9SA18; Q9S702; Q94AR8
Longevity regulating pathway,n/a,map04211,1,65,0.299473346331872,0.384913868772377,Q8RWC9,,Q8RWC9
Cysteine and methionine metabolism,n/a,map00270,5,201,0.00538203112626156,0.0521823017894056,"Q9SR86, Q8LAX0, O65378, Q9SA18, Q9S702",,Q9SR86; Q8LAX0; O65378; Q9SA18; Q9S702
"Valine, leucine and isoleucine biosynthesis",n/a,map00290,4,39,8.65324316937015E-05,0.00321612204461591,"Q9FMT1, Q9LYT7, Q9ZW84, Q94AR8",,Q9FMT1; Q9LYT7; Q9ZW84; Q94AR8
Flavonoid biosynthesis,n/a,map00941,1,41,0.202660000230216,0.288774313427081,Q9SEV0,,Q9SEV0
Cellular senescence,n/a,map04218,3,140,0.0425002346160787,0.142519583750159,"Q9LQQ9, Q9FJV7, Q39071",,Q9LQQ9; Q9FJV7; Q39071
Pathways in cancer,n/a,map05200,10,283,5.33253535296359E-06,0.000237831076742176,"Q9SHH6, Q9SHH7, Q9SRZ0, Q9LQQ9, Q7Y1C4, Q7Y1C5, O82480, Q8L7C9, Q39071, Q96324",,Q9SHH6; Q9SHH7; Q9SRZ0; Q9LQQ9; Q7Y1C4; Q7Y1C5; O82480; Q8L7C9; Q39071; Q96324
Transcriptional misregulation in cancer,n/a,map05202,1,78,0.346917347809649,0.423904485268777,Q39071,,Q39071
Acute myeloid leukemia,n/a,map05221,2,26,0.00994687724567074,0.0853136009917144,"Q9LQQ9, Q39071",,Q9LQQ9; Q39071
Hepatitis B,n/a,map05161,2,54,0.0367243119344961,0.151657806692456,"Q9LQQ9, Q39071",,Q9LQQ9; Q39071
Progesterone-mediated oocyte maturation,n/a,map04914,4,65,0.00054281824718106,0.0096838775297101,"Q9LQQ9, F4KEC6, O22806, Q39071",,Q9LQQ9; F4KEC6; O22806; Q39071
Porphyrin and chlorophyll metabolism,n/a,map00860,1,92,0.394428828543069,0.446485425203575,Q66WT5,,Q66WT5
Choline metabolism in cancer,n/a,map05231,2,96,0.0980194508770629,0.202392014310973,"Q9LQQ9, O82480",,Q9LQQ9; O82480
FoxO signaling pathway,n/a,map04068,2,90,0.0881206649878678,0.190785517400918,"Q9LQQ9, Q8RWC9",,Q9LQQ9; Q8RWC9
Prostate cancer,n/a,map05215,1,43,0.211214230715754,0.297165763089042,Q9LQQ9,,Q9LQQ9
Gastric cancer,n/a,map05226,3,54,0.00364934530623793,0.0369910910586845,"Q9LQQ9, Q9M0M2, Q9SGY1",,Q9LQQ9; Q9M0M2; Q9SGY1
Cushing syndrome,n/a,map04934,1,24,0.126106370929166,0.230505907518066,Q9LQQ9,,Q9LQQ9
MicroRNAs in cancer,n/a,map05206,3,95,0.0161390117779957,0.102828560756944,"Q9LQQ9, Q9M0M2, Q9SGY1",,Q9LQQ9; Q9M0M2; Q9SGY1
"Cutin, suberine and wax biosynthesis",n/a,map00073,2,52,0.0343643821538241,0.147370331159669,"Q39152, Q9FFQ7",,Q39152; Q9FFQ7
Carotenoid biosynthesis,n/a,map00906,1,44,0.21545692099564,0.298427909205141,O49505,,O49505
ABC transporters,n/a,map02010,2,35,0.0169771096580378,0.105163762603956,"Q9M0M2, Q9SGY1",,Q9M0M2; Q9SGY1
Bile secretion,n/a,map04976,2,32,0.014452662498599,0.100716991787112,"Q9M0M2, Q9SGY1",,Q9M0M2; Q9SGY1
Human immunodeficiency virus 1 infection,n/a,map05170,3,172,0.0691403571587018,0.173239321869556,"Q9SRZ0, Q9LQQ9, O82480",,Q9SRZ0; Q9LQQ9; O82480
Pancreatic secretion,n/a,map04972,1,63,0.291874891572697,0.37841919081809,O82480,,O82480
Hepatocellular carcinoma,n/a,map05225,5,119,0.000588709188655951,0.00937729636216265,"Q9SHH6, Q9SHH7, Q9LQQ9, Q8L7C9, Q96324",,Q9SHH6; Q9SHH7; Q9LQQ9; Q8L7C9; Q96324
Thermogenesis,n/a,map04714,1,259,1,1.0045045045045,Q8RWC9,,Q8RWC9
Phagosome,n/a,map04145,1,159,0.578179708570925,0.599693372145657,O82480,,O82480
Amyotrophic lateral sclerosis (ALS),n/a,map05014,1,87,0.37787025554719,0.433239418956419,O82480,,O82480
Longevity regulating pathway - multiple species,n/a,map04213,1,73,0.329061711477967,0.409948389159701,Q8RWC9,,Q8RWC9
Lysine biosynthesis,n/a,map00300,2,30,0.0128686755064953,0.0989556771706359,"Q9SA18, Q9S702",,Q9SA18; Q9S702
Necroptosis,n/a,map04217,1,122,0.484936870493183,0.524955932621261,Q9S7A0,,Q9S7A0
Calcium signaling pathway,n/a,map04020,1,80,0.353926033147967,0.423193058402127,Q9FJV7,,Q9FJV7
cGMP-PKG signaling pathway,n/a,map04022,1,78,0.346917347809649,0.423904485268777,Q9LQQ9,,Q9LQQ9
Influenza A,n/a,map05164,1,80,0.353926033147967,0.423193058402127,Q9LQQ9,,Q9LQQ9
Apelin signaling pathway,n/a,map04371,2,69,0.0562446345109549,0.159777751540674,"Q9LQQ9, Q8RWC9",,Q9LQQ9; Q8RWC9
Kaposi sarcoma-associated herpesvirus infection,n/a,map05167,2,138,0.174046078929558,0.273325884516136,"Q9LQQ9, O82480",,Q9LQQ9; O82480
GABAergic synapse,n/a,map04727,1,53,0.252630293749907,0.335336639918031,Q9LSH2,,Q9LSH2
Ras signaling pathway,n/a,map04014,2,71,0.0590702142485335,0.155889441152934,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Axon regeneration,n/a,map04361,3,87,0.0128632877713711,0.102446899036277,"Q8RWC9, O48771, O82480",,Q8RWC9; O48771; O82480
Rap1 signaling pathway,n/a,map04015,2,54,0.0367243119344961,0.151657806692456,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Glioma,n/a,map05214,1,34,0.171984161520986,0.274928086158996,Q9LQQ9,,Q9LQQ9
Fluid shear stress and atherosclerosis,n/a,map05418,7,197,0.000132814679630274,0.00423109622250729,"Q9SHH6, Q9SHH7, Q8RWC9, O82480, Q9XIF4, Q8L7C9, Q96324",,Q9SHH6; Q9SHH7; Q8RWC9; O82480; Q9XIF4; Q8L7C9; Q96324
Pertussis,n/a,map05133,1,38,0.189654667359807,0.278243360666032,Q9LQQ9,,Q9LQQ9
Human cytomegalovirus infection,n/a,map05163,2,93,0.0930314222136187,0.195717048619217,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Alcoholism,n/a,map05034,2,144,0.185576202305588,0.276812662970877,"Q8LRK8, Q9LQQ9",,Q8LRK8; Q9LQQ9
Vascular smooth muscle contraction,n/a,map04270,1,37,0.185272658372571,0.279160829845157,Q9LQQ9,,Q9LQQ9
Insulin signaling pathway,n/a,map04910,2,135,0.168325933841341,0.273990388661453,"Q9LQQ9, Q8RWC9",,Q9LQQ9; Q8RWC9
GnRH signaling pathway,n/a,map04912,1,41,0.202660000230216,0.288774313427081,Q9LQQ9,,Q9LQQ9
Estrogen signaling pathway,n/a,map04915,1,48,0.232201041745081,0.313823226116079,Q9LQQ9,,Q9LQQ9
Melanogenesis,n/a,map04916,1,29,0.149354030503712,0.252317793957029,Q9LQQ9,,Q9LQQ9
Oxytocin signaling pathway,n/a,map04921,2,79,0.0708387808811866,0.174553018082924,"Q9LQQ9, Q8RWC9",,Q9LQQ9; Q8RWC9
Glucagon signaling pathway,n/a,map04922,1,133,0.514624638647378,0.541326860463987,Q8RWC9,,Q8RWC9
Circadian entrainment,n/a,map04713,1,19,0.102224358280622,0.203535999076595,Q9LQQ9,,Q9LQQ9
C-type lectin receptor signaling pathway,n/a,map04625,1,40,0.198348212392798,0.287218515348013,Q9LQQ9,,Q9LQQ9
Long-term potentiation,n/a,map04720,1,65,0.299473346331872,0.384913868772377,Q9LQQ9,,Q9LQQ9
RNA transport,n/a,map03013,2,285,0.669635799860733,0.68815107543292,"Q9SRU3, Q6AWV1",,Q9SRU3; Q6AWV1
Glycerophospholipid metabolism,n/a,map00564,2,164,0.224658813775756,0.307355309644132,"Q9FLM1, Q9XI60",,Q9FLM1; Q9XI60
HIF-1 signaling pathway,n/a,map04066,1,107,0.441510529757528,0.485009104117875,Q9LQQ9,,Q9LQQ9
Fructose and mannose metabolism,n/a,map00051,1,110,0.450478827756466,0.492435189165157,Q9FJZ3,,Q9FJZ3
Wnt signaling pathway,n/a,map04310,2,158,0.212851967017385,0.29666242903048,"Q9SRZ0, O82480",,Q9SRZ0; O82480
TGF-beta signaling pathway,n/a,map04350,2,70,0.0576513436387019,0.154894573872657,"Q9SRZ0, Q9LQQ9",,Q9SRZ0; Q9LQQ9
Circadian rhythm,n/a,map04710,2,60,0.0441604792904934,0.140682669739715,"Q9SRZ0, Q8RWC9",,Q9SRZ0; Q8RWC9
Retrograde endocannabinoid signaling,n/a,map04723,1,83,0.364298496346283,0.420925205622908,Q9LQQ9,,Q9LQQ9
Apoptosis,n/a,map04210,1,51,0.244524544587683,0.326520799060199,Q9LQQ9,,Q9LQQ9
Quorum sensing,n/a,map02024,3,115,0.0261940081111568,0.132755995654272,"Q9LSH2, Q9LTZ0, Q9C5M8",,Q9LSH2; Q9LTZ0; Q9C5M8
Tight junction,n/a,map04530,2,98,0.101385883732914,0.20553683702218,"Q8RWC9, O82480",,Q8RWC9; O82480
Yersinia infection,n/a,map05135,2,59,0.04288512329241,0.138599746292861,"Q9LQQ9, O82480",,Q9LQQ9; O82480
SNARE interactions in vesicular transport,n/a,map04130,1,93,0.397687356378164,0.447900406425912,Q9LFP1,,Q9LFP1
Basal transcription factors,n/a,map03022,1,87,0.37787025554719,0.433239418956419,Q6PUA2,,Q6PUA2
Pentose and glucuronate interconversions,n/a,map00040,3,152,0.0517588954176578,0.159203223146727,"Q9FHN4, Q9LTZ0, Q9C5M8",,Q9FHN4; Q9LTZ0; Q9C5M8
Galactose metabolism,n/a,map00052,5,96,0.000229146147491784,0.00567773232118531,"Q9FXB2, O22693, Q9LIB9, Q94A08, F4J5Z7",,Q9FXB2; O22693; Q9LIB9; Q94A08; F4J5Z7
mTOR signaling pathway,n/a,map04150,2,103,0.109937894468723,0.20953974757714,"Q9LQQ9, Q8RWC9",,Q9LQQ9; Q8RWC9
Epithelial cell signaling in Helicobacter pylori infection,n/a,map05120,1,82,0.36085961650604,0.420217725748547,O82480,,O82480
Two-component system,n/a,map02020,3,99,0.0179360569381612,0.105256334137104,"Q9FHN4, Q9STW8, Q42059",,Q9FHN4; Q9STW8; Q42059
Non-alcoholic fatty liver disease (NAFLD),n/a,map04932,2,160,0.216781407330851,0.298408974288764,"Q8RWC9, O82480",,Q8RWC9; O82480
MAPK signaling pathway - fly,n/a,map04013,2,100,0.104783915992936,0.204972046196709,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Ribosome biogenesis in eukaryotes,n/a,map03008,3,140,0.0425002346160787,0.142519583750159,"O22290, Q6AWV1, Q94AH9",,O22290; Q6AWV1; Q94AH9
Proteasome,n/a,map03050,1,115,0.465107576579389,0.505946290620506,Q9FHY0,,Q9FHY0
Focal adhesion,n/a,map04510,2,81,0.0738909071161459,0.175294386030857,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Adherens junction,n/a,map04520,2,51,0.0332075759854218,0.145201753818609,"Q9LQQ9, O82480",,Q9LQQ9; O82480
MAPK signaling pathway,n/a,map04010,2,81,0.0738909071161459,0.175294386030857,"Q9LQQ9, O82480",,Q9LQQ9; O82480
VEGF signaling pathway,n/a,map04370,2,57,0.0403770311359018,0.147607835136166,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Proteoglycans in cancer,n/a,map05205,2,69,0.0562446345109549,0.159777751540674,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Colorectal cancer,n/a,map05210,2,55,0.0379270379918685,0.140962157869778,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Renal cell carcinoma,n/a,map05211,2,49,0.03094128782256,0.140814432335324,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Pancreatic cancer,n/a,map05212,4,65,0.00054281824718106,0.0096838775297101,"Q9LQQ9, Q7Y1C4, Q7Y1C5, O82480",,Q9LQQ9; Q7Y1C4; Q7Y1C5; O82480
Viral myocarditis,n/a,map05416,1,36,0.180866989603375,0.278160956424501,O82480,,O82480
AGE-RAGE signaling pathway in diabetic complications,n/a,map04933,2,41,0.0225374823599688,0.116880431773792,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Axon guidance,n/a,map04360,2,79,0.0708387808811866,0.174553018082924,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Osteoclast differentiation,n/a,map04380,2,61,0.0454497906523325,0.142750750922115,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Chemokine signaling pathway,n/a,map04062,2,37,0.0187563190558949,0.107247670499091,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Toll-like receptor signaling pathway,n/a,map04620,2,31,0.0136506130911243,0.101469557310691,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Natural killer cell mediated cytotoxicity,n/a,map04650,2,54,0.0367243119344961,0.151657806692456,"Q9LQQ9, O82480",,Q9LQQ9; O82480
B cell receptor signaling pathway,n/a,map04662,2,58,0.0416239106876205,0.149711807795796,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Fc epsilon RI signaling pathway,n/a,map04664,2,34,0.016116146029882,0.105702957784226,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Leukocyte transendothelial migration,n/a,map04670,1,27,0.140130002149043,0.245090121405777,O82480,,O82480
Ribosome,n/a,map03010,1,654,0.276411949205455,0.362587439251862,Q9FY65,,Q9FY65
Riboflavin metabolism,n/a,map00740,1,31,0.158479259251177,0.260818264302675,Q6NLQ7,,Q6NLQ7
Folate biosynthesis,n/a,map00790,1,43,0.211214230715754,0.297165763089042,Q6NLQ7,,Q6NLQ7
Glutathione metabolism,n/a,map00480,4,172,0.01548919782167,0.104669427704013,"Q9SHH6, Q9SHH7, Q8L7C9, Q96324",,Q9SHH6; Q9SHH7; Q8L7C9; Q96324
Insulin resistance,n/a,map04931,2,75,0.0648639134945517,0.166260375968794,"Q9LNW3, Q8RWC9",,Q9LNW3; Q8RWC9
Gap junction,n/a,map04540,1,36,0.180866989603375,0.278160956424501,Q9LQQ9,,Q9LQQ9
Central carbon metabolism in cancer,n/a,map05230,1,94,0.400928377139343,0.449281548251625,Q9LQQ9,,Q9LQQ9
Fanconi anemia pathway,n/a,map03460,3,75,0.00873249952329821,0.07789389574782,"Q7Y1C4, Q5XUX6, Q7Y1C5",,Q7Y1C4; Q5XUX6; Q7Y1C5
