#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,22,3837,2.8564173351039E-07,5.08442285648494E-05,"Q9LMM0, Q9LNE3, Q9FNX8, Q8GYM1, Q9FLC8, F4KFG5, Q8GY54, Q00917, Q9M880, Q9LSH2, P32962, Q94A08, Q9ZPS3, Q9SK52, Q9ZW15, A0A178VRB0, O80912, O81301, O49505, O81862, Q9STW8, O23237",,Q9LMM0; Q9LNE3; Q9FNX8; Q8GYM1; Q9FLC8; F4KFG5; Q8GY54; Q00917; Q9M880; Q9LSH2; P32962; Q94A08; Q9ZPS3; Q9SK52; Q9ZW15; A0A178VRB0; O80912; O81301; O49505; O81862; Q9STW8; O23237
Fatty acid biosynthesis,n/a,map00061,1,65,0.0997991917100491,0.166800526989566,Q9M880,,Q9M880
Apoptosis,n/a,map04210,1,51,0.0794930991124008,0.158098007173266,Q9LQQ9,,Q9LQQ9
Quorum sensing,n/a,map02024,2,115,0.0151631248391633,0.0999643044952249,"Q9LSH2, Q9ZPS3",,Q9LSH2; Q9ZPS3
Yersinia infection,n/a,map05135,1,59,0.0911517296897531,0.158292759851474,Q9LQQ9,,Q9LQQ9
Pentose and glucuronate interconversions,n/a,map00040,1,152,0.216367227418875,0.239213456400993,O81301,,O81301
Galactose metabolism,n/a,map00052,1,96,0.14319062784719,0.182709188220787,Q94A08,,Q94A08
mTOR signaling pathway,n/a,map04150,1,103,0.152697024137412,0.190070421653561,Q9LQQ9,,Q9LQQ9
Two-component system,n/a,map02020,2,99,0.0114727401629306,0.0928248976818928,"O81301, Q9STW8",,O81301; Q9STW8
MAPK signaling pathway - fly,n/a,map04013,2,100,0.0116900624706475,0.0904709182510979,"Q9LQQ9, Q9FE63",,Q9LQQ9; Q9FE63
Ribosome biogenesis in eukaryotes,n/a,map03008,1,140,0.201228986476397,0.227420695827293,Q94AH9,,Q94AH9
Proteasome,n/a,map03050,1,115,0.168750203499334,0.198924080946234,Q9FHY0,,Q9FHY0
Focal adhesion,n/a,map04510,1,81,0.122460984748235,0.174384442281486,Q9LQQ9,,Q9LQQ9
Adherens junction,n/a,map04520,1,51,0.0794930991124008,0.158098007173266,Q9LQQ9,,Q9LQQ9
MAPK signaling pathway,n/a,map04010,1,81,0.122460984748235,0.174384442281486,Q9LQQ9,,Q9LQQ9
VEGF signaling pathway,n/a,map04370,1,57,0.0882509173147433,0.158673366485094,Q9LQQ9,,Q9LQQ9
Proteoglycans in cancer,n/a,map05205,1,69,0.105518641820937,0.16997573071608,Q9LQQ9,,Q9LQQ9
Colorectal cancer,n/a,map05210,1,55,0.0853408941658946,0.155006930219686,Q9LQQ9,,Q9LQQ9
Renal cell carcinoma,n/a,map05211,1,49,0.0765552686870789,0.154850429844319,Q9LQQ9,,Q9LQQ9
Pancreatic cancer,n/a,map05212,1,65,0.0997991917100491,0.166800526989566,Q9LQQ9,,Q9LQQ9
AGE-RAGE signaling pathway in diabetic complications,n/a,map04933,1,41,0.0647103748648003,0.141330634674042,Q9LQQ9,,Q9LQQ9
Axon guidance,n/a,map04360,1,79,0.119659596570354,0.177495068246025,Q9LQQ9,,Q9LQQ9
Osteoclast differentiation,n/a,map04380,1,61,0.0940433602947779,0.160958828196831,Q9LQQ9,,Q9LQQ9
Chemokine signaling pathway,n/a,map04062,1,37,0.0587313699263006,0.142233793835122,Q9LQQ9,,Q9LQQ9
Toll-like receptor signaling pathway,n/a,map04620,1,31,0.0496914932373564,0.135039477805335,Q9LQQ9,,Q9LQQ9
Natural killer cell mediated cytotoxicity,n/a,map04650,1,54,0.0838824194992945,0.158000747839941,Q9LQQ9,,Q9LQQ9
B cell receptor signaling pathway,n/a,map04662,1,58,0.089702473052372,0.159670402033222,Q9LQQ9,,Q9LQQ9
Fc epsilon RI signaling pathway,n/a,map04664,1,34,0.0542221763837116,0.140898502135776,Q9LQQ9,,Q9LQQ9
Spliceosome,n/a,map03040,1,318,0.398718982409737,0.405554164965333,Q9C8J1,,Q9C8J1
Glutathione metabolism,n/a,map00480,2,172,0.0317109730604496,0.11519496336245,"Q8GYM1, Q8GY54",,Q8GYM1; Q8GY54
Gap junction,n/a,map04540,1,36,0.0572306868849896,0.141486975910113,Q9LQQ9,,Q9LQQ9
Central carbon metabolism in cancer,n/a,map05230,1,94,0.140455077854286,0.183830910721051,Q9LQQ9,,Q9LQQ9
EGFR tyrosine kinase inhibitor resistance,n/a,map01521,1,31,0.0496914932373564,0.135039477805335,Q9LQQ9,,Q9LQQ9
Systemic lupus erythematosus,n/a,map05322,1,91,0.136335452907117,0.182463989605014,Q9FX60,,Q9FX60
Platinum drug resistance,n/a,map01524,3,115,0.000925589032146912,0.0329509695444301,"Q9LQQ9, Q8GYM1, Q8GWP3",,Q9LQQ9; Q8GYM1; Q8GWP3
Aminobenzoate degradation,n/a,map00627,1,16,0.0267121501680917,0.114572595901695,P32962,,P32962
Styrene degradation,n/a,map00643,1,17,0.0282611578717263,0.114329229571984,P32962,,P32962
Thyroid hormone signaling pathway,n/a,map04919,1,78,0.118255567989632,0.18068232705712,Q9LQQ9,,Q9LQQ9
Phospholipase D signaling pathway,n/a,map04072,1,81,0.122460984748235,0.174384442281486,Q9LQQ9,,Q9LQQ9
Glutamatergic synapse,n/a,map04724,1,59,0.0911517296897531,0.158292759851474,Q9LQQ9,,Q9LQQ9
PD-L1 expression and PD-1 checkpoint pathway in cancer,n/a,map05235,1,54,0.0838824194992945,0.158000747839941,Q9LQQ9,,Q9LQQ9
Th1 and Th2 cell differentiation,n/a,map04658,1,26,0.0420923229370259,0.130303191005054,Q9LQQ9,,Q9LQQ9
Th17 cell differentiation,n/a,map04659,1,34,0.0542221763837116,0.140898502135776,Q9LQQ9,,Q9LQQ9
T cell receptor signaling pathway,n/a,map04660,1,34,0.0542221763837116,0.140898502135776,Q9LQQ9,,Q9LQQ9
Apoptosis - fly,n/a,map04214,2,27,0.000994238595461624,0.0294957449986948,"Q9LQQ9, Q9C5R8",,Q9LQQ9; Q9C5R8
"Alanine, aspartate and glutamate metabolism",n/a,map00250,2,97,0.0110435378670277,0.109208318907274,"Q9LSH2, Q9ZPS3",,Q9LSH2; Q9ZPS3
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,1,89,0.133578129605152,0.18150310740242,Q8GYM1,,Q8GYM1
Drug metabolism - cytochrome P450,n/a,map00982,1,92,0.137710839098155,0.182929323578147,Q8GYM1,,Q8GYM1
Mineral absorption,n/a,map04978,1,29,0.046659048801989,0.135045702223643,Q8GWP3,,Q8GWP3
Breast cancer,n/a,map05224,1,30,0.0481764724315848,0.133990813950345,Q9LQQ9,,Q9LQQ9
Chagas disease (American trypanosomiasis),n/a,map05142,1,28,0.0451392185455686,0.136182727137478,Q9LQQ9,,Q9LQQ9
Long-term depression,n/a,map04730,1,19,0.0313518193633735,0.117486817824852,Q9LQQ9,,Q9LQQ9
Chemical carcinogenesis,n/a,map05204,1,84,0.126646447026738,0.174077741859146,Q8GYM1,,Q8GYM1
Linoleic acid metabolism,n/a,map00591,1,14,0.0236067615066536,0.107743680722675,Q9FNX8,,Q9FNX8
Type II diabetes mellitus,n/a,map04930,1,39,0.0617256103802155,0.140861008303569,Q9LQQ9,,Q9LQQ9
Butanoate metabolism,n/a,map00650,2,34,0.00153152328497543,0.0340763930907033,"Q9LSH2, Q9ZPS3",,Q9LSH2; Q9ZPS3
Endocrine resistance,n/a,map01522,1,16,0.0267121501680917,0.114572595901695,Q9LQQ9,,Q9LQQ9
Signaling pathways regulating pluripotency of stem cells,n/a,map04550,1,10,0.0173663824636252,0.0909181199566258,Q9LQQ9,,Q9LQQ9
ErbB signaling pathway,n/a,map04012,1,13,0.0220503727974278,0.109026843276171,Q9LQQ9,,Q9LQQ9
Endometrial cancer,n/a,map05213,1,21,0.0344327013849647,0.115641902764598,Q9LQQ9,,Q9LQQ9
Prolactin signaling pathway,n/a,map04917,1,10,0.0173663824636252,0.0909181199566258,Q9LQQ9,,Q9LQQ9
"Growth hormone synthesis, secretion and action",n/a,map04935,1,17,0.0282611578717263,0.114329229571984,Q9LQQ9,,Q9LQQ9
IL-17 signaling pathway,n/a,map04657,1,29,0.046659048801989,0.135045702223643,Q9LQQ9,,Q9LQQ9
Chronic myeloid leukemia,n/a,map05220,1,22,0.0359694847041191,0.118566079209874,Q9LQQ9,,Q9LQQ9
Taurine and hypotaurine metabolism,n/a,map00430,2,14,0.000297894072470893,0.0176750482999397,"Q9LSH2, Q9ZPS3",,Q9LSH2; Q9ZPS3
TNF signaling pathway,n/a,map04668,1,7,0.0126600738661114,0.0883722803203069,Q9LQQ9,,Q9LQQ9
Thyroid cancer,n/a,map05216,1,9,0.0158000979528044,0.0953361842575994,Q9LQQ9,,Q9LQQ9
Melanoma,n/a,map05218,1,18,0.0298077129802564,0.115342889358383,Q9LQQ9,,Q9LQQ9
Bladder cancer,n/a,map05219,1,9,0.0158000979528044,0.0953361842575994,Q9LQQ9,,Q9LQQ9
Non-small cell lung cancer,n/a,map05223,1,17,0.0282611578717263,0.114329229571984,Q9LQQ9,,Q9LQQ9
Dorso-ventral axis formation,n/a,map04320,1,4,0.00793134121204499,0.0910824990802586,Q9LQQ9,,Q9LQQ9
Relaxin signaling pathway,n/a,map04926,1,6,0.0110863264496166,0.0986683054015875,Q9LQQ9,,Q9LQQ9
"Parathyroid hormone synthesis, secretion and action",n/a,map04928,1,29,0.046659048801989,0.135045702223643,Q9LQQ9,,Q9LQQ9
GnRH secretion,n/a,map04929,1,4,0.00793134121204499,0.0910824990802586,Q9LQQ9,,Q9LQQ9
Cholinergic synapse,n/a,map04725,1,6,0.0110863264496166,0.0986683054015875,Q9LQQ9,,Q9LQQ9
Serotonergic synapse,n/a,map04726,1,7,0.0126600738661114,0.0883722803203069,Q9LQQ9,,Q9LQQ9
Platelet activation,n/a,map04611,1,20,0.0328934808937919,0.1159413781999,Q9LQQ9,,Q9LQQ9
Leishmaniasis,n/a,map05140,1,10,0.0173663824636252,0.0909181199566258,Q9LQQ9,,Q9LQQ9
Aldosterone-regulated sodium reabsorption,n/a,map04960,1,6,0.0110863264496166,0.0986683054015875,Q9LQQ9,,Q9LQQ9
