#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,15,3837,0.00499582984073377,0.0246460938809533,"Q9SRW9, Q9FUS9, Q9SHH7, Q8L7C9, Q9FIW4, F4J5Z7, Q8LAX0, Q9LTZ0, Q9LYT7, Q6NLQ7, O80912, O22862, Q9LDA4, O49505, O81862",,Q9SRW9; Q9FUS9; Q9SHH7; Q8L7C9; Q9FIW4; F4J5Z7; Q8LAX0; Q9LTZ0; Q9LYT7; Q6NLQ7; O80912; O22862; Q9LDA4; O49505; O81862
Parkinson disease,n/a,map05012,1,411,0.520541609968747,0.558262016488221,Q9FHY0,,Q9FHY0
Glucosinolate biosynthesis,n/a,map00966,4,47,2.28304292916587E-06,0.000168945176758274,"Q9FG67, Q9FN52, Q9LE06, Q9LYT7",,Q9FG67; Q9FN52; Q9LE06; Q9LYT7
2-Oxocarboxylic acid metabolism,n/a,map01210,4,126,9.29648640740227E-05,0.00343969997073884,"Q9FG67, Q9FN52, Q9LE06, Q9LYT7",,Q9FG67; Q9FN52; Q9LE06; Q9LYT7
Drug metabolism - other enzymes,n/a,map00983,3,141,0.00225222655241657,0.0138887304065688,"Q9FUS9, Q9SHH7, Q8L7C9",,Q9FUS9; Q9SHH7; Q8L7C9
Amino sugar and nucleotide sugar metabolism,n/a,map00520,2,249,0.0741853562119794,0.196061298560231,"Q9SRW9, O81862",,Q9SRW9; O81862
Alzheimer disease,n/a,map05010,1,426,0.53322525727543,0.563695271976884,Q9FHY0,,Q9FHY0
Spinocerebellar ataxia,n/a,map05017,1,183,0.279628755883503,0.339221769432446,Q9FHY0,,Q9FHY0
Longevity regulating pathway,n/a,map04211,1,65,0.110940456841909,0.231256163557781,Q8RWC9,,Q8RWC9
Cysteine and methionine metabolism,n/a,map00270,1,201,0.302394177035072,0.360922082267667,Q8LAX0,,Q8LAX0
"Valine, leucine and isoleucine biosynthesis",n/a,map00290,1,39,0.0687799834785273,0.188508102867075,Q9LYT7,,Q9LYT7
Cellular senescence,n/a,map04218,1,140,0.222206859178868,0.298969228713386,Q39071,,Q39071
Pathways in cancer,n/a,map05200,5,283,0.000180648403486736,0.00334199546450461,"Q9FUS9, Q9SHH7, Q8L7C9, Q39071, Q7Y1C5",,Q9FUS9; Q9SHH7; Q8L7C9; Q39071; Q7Y1C5
Transcriptional misregulation in cancer,n/a,map05202,1,78,0.13130262433581,0.236985224410974,Q39071,,Q39071
Acute myeloid leukemia,n/a,map05221,1,26,0.0469593631401029,0.173749643618381,Q39071,,Q39071
Hepatitis B,n/a,map05161,1,54,0.0933403352066494,0.212528763239755,Q39071,,Q39071
Progesterone-mediated oocyte maturation,n/a,map04914,2,65,0.00645936412652028,0.0298745590851563,"F4KEC6, Q39071",,F4KEC6; Q39071
FoxO signaling pathway,n/a,map04068,1,90,0.149686168855241,0.25174492034745,Q8RWC9,,Q8RWC9
Gastric cancer,n/a,map05226,1,54,0.0933403352066494,0.212528763239755,Q9SGY1,,Q9SGY1
MicroRNAs in cancer,n/a,map05206,1,95,0.157231207348489,0.258557985417515,Q9SGY1,,Q9SGY1
"Cutin, suberine and wax biosynthesis",n/a,map00073,1,52,0.0901032531617607,0.215085184966784,Q9FFQ7,,Q9FFQ7
Carotenoid biosynthesis,n/a,map00906,1,44,0.0770394770551266,0.190030710069312,O49505,,O49505
ABC transporters,n/a,map02010,1,35,0.0621194495496464,0.183873570666953,Q9SGY1,,Q9SGY1
Bile secretion,n/a,map04976,1,32,0.0570929492310079,0.176036593462274,Q9SGY1,,Q9SGY1
Hepatocellular carcinoma,n/a,map05225,3,119,0.0014041091040635,0.0103904073700699,"Q9FUS9, Q9SHH7, Q8L7C9",,Q9FUS9; Q9SHH7; Q8L7C9
Thermogenesis,n/a,map04714,1,259,0.370989249983872,0.409749320877709,Q8RWC9,,Q8RWC9
Longevity regulating pathway - multiple species,n/a,map04213,1,73,0.123526546395942,0.24055169561315,Q8RWC9,,Q8RWC9
Apelin signaling pathway,n/a,map04371,1,69,0.117255829367769,0.234511658735538,Q8RWC9,,Q8RWC9
Axon regeneration,n/a,map04361,1,87,0.145126911381243,0.249753289353768,Q8RWC9,,Q8RWC9
Fluid shear stress and atherosclerosis,n/a,map05418,4,197,0.000489511871518332,0.00724477569847132,"Q9FUS9, Q9SHH7, Q8L7C9, Q8RWC9",,Q9FUS9; Q9SHH7; Q8L7C9; Q8RWC9
Insulin signaling pathway,n/a,map04910,1,135,0.215240940266703,0.294959807032149,Q8RWC9,,Q8RWC9
Oxytocin signaling pathway,n/a,map04921,1,79,0.132849579658853,0.234068307017979,Q8RWC9,,Q8RWC9
Glucagon signaling pathway,n/a,map04922,1,133,0.212437216471362,0.29661045318643,Q8RWC9,,Q8RWC9
Circadian rhythm,n/a,map04710,1,60,0.102982961933666,0.224139387737979,Q8RWC9,,Q8RWC9
Quorum sensing,n/a,map02024,1,115,0.186750763622735,0.268340903069561,Q9LTZ0,,Q9LTZ0
Tight junction,n/a,map04530,1,98,0.161726204094892,0.254632746872809,Q8RWC9,,Q8RWC9
Pentose and glucuronate interconversions,n/a,map00040,1,152,0.238674967719537,0.309858730021855,Q9LTZ0,,Q9LTZ0
Galactose metabolism,n/a,map00052,1,96,0.158732199000616,0.255351798392296,F4J5Z7,,F4J5Z7
mTOR signaling pathway,n/a,map04150,1,103,0.169164895130748,0.260795879993237,Q8RWC9,,Q8RWC9
Non-alcoholic fatty liver disease (NAFLD),n/a,map04932,1,160,0.249460418424793,0.312882558702283,Q8RWC9,,Q8RWC9
Proteasome,n/a,map03050,1,115,0.186750763622735,0.268340903069561,Q9FHY0,,Q9FHY0
Pancreatic cancer,n/a,map05212,1,65,0.110940456841909,0.231256163557781,Q7Y1C5,,Q7Y1C5
Ribosome,n/a,map03010,1,654,1,1.00680272108844,Q9FY65,,Q9FY65
Riboflavin metabolism,n/a,map00740,1,31,0.0554114973988943,0.178280469892095,Q6NLQ7,,Q6NLQ7
Folate biosynthesis,n/a,map00790,1,43,0.0753934328347407,0.19238324240589,Q6NLQ7,,Q6NLQ7
Glutathione metabolism,n/a,map00480,3,172,0.00389723591030732,0.0221842659509801,"Q9FUS9, Q9SHH7, Q8L7C9",,Q9FUS9; Q9SHH7; Q8L7C9
Insulin resistance,n/a,map04931,1,75,0.126645257385224,0.237259469531812,Q8RWC9,,Q8RWC9
Fanconi anemia pathway,n/a,map03460,1,75,0.126645257385224,0.237259469531812,Q7Y1C5,,Q7Y1C5
Homologous recombination,n/a,map03440,1,104,0.170644729795846,0.255105252624092,Q7Y1C5,,Q7Y1C5
Platinum drug resistance,n/a,map01524,3,115,0.00127604586570913,0.0104919326736084,"Q9FUS9, Q9SHH7, Q8L7C9",,Q9FUS9; Q9SHH7; Q8L7C9
Adipocytokine signaling pathway,n/a,map04920,1,36,0.0637890154055382,0.181553351538839,Q8RWC9,,Q8RWC9
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,3,89,0.000621097966640225,0.00656589279019666,"Q9FUS9, Q9SHH7, Q8L7C9",,Q9FUS9; Q9SHH7; Q8L7C9
Drug metabolism - cytochrome P450,n/a,map00982,3,92,0.000681898033658737,0.00630755681134332,"Q9FUS9, Q9SHH7, Q8L7C9",,Q9FUS9; Q9SHH7; Q8L7C9
Breast cancer,n/a,map05224,1,30,0.0537270609234127,0.184921046899188,Q7Y1C5,,Q7Y1C5
Chemical carcinogenesis,n/a,map05204,3,84,0.000527673008874904,0.00650796710945715,"Q9FUS9, Q9SHH7, Q8L7C9",,Q9FUS9; Q9SHH7; Q8L7C9
Sesquiterpenoid and triterpenoid biosynthesis,n/a,map00909,1,30,0.0537270609234127,0.184921046899188,B6EXY6,,B6EXY6
Hypertrophic cardiomyopathy (HCM),n/a,map05410,1,14,0.0263658363221308,0.114768934578687,Q8RWC9,,Q8RWC9
