namespace,id,name,counts
cellular_component,GO:0002189,ribose phosphate diphosphokinase complex, 5
cellular_component,GO:0005576,extracellular region, 930
cellular_component,GO:0005615,extracellular space, 152
cellular_component,GO:0005618,cell wall, 518
cellular_component,GO:0005634,nucleus, 4582
cellular_component,GO:0005635,nuclear envelope, 78
cellular_component,GO:0005637,nuclear inner membrane, 10
cellular_component,GO:0005640,nuclear outer membrane, 3
cellular_component,GO:0005643,nuclear pore, 27
cellular_component,GO:0005652,nuclear lamina, 3
cellular_component,GO:0005654,nucleoplasm, 129
cellular_component,GO:0005655,nucleolar ribonuclease P complex, 3
cellular_component,GO:0005656,nuclear pre-replicative complex, 3
cellular_component,GO:0005657,replication fork, 6
cellular_component,GO:0005658,alpha DNA polymerase:primase complex, 4
cellular_component,GO:0005662,DNA replication factor A complex, 8
cellular_component,GO:0005663,DNA replication factor C complex, 10
cellular_component,GO:0005664,nuclear origin of replication recognition complex, 7
cellular_component,GO:0005665,"RNA polymerase II, core complex", 22
cellular_component,GO:0005666,RNA polymerase III complex, 28
cellular_component,GO:0005667,transcription factor complex, 16
cellular_component,GO:0005669,transcription factor TFIID complex, 21
cellular_component,GO:0005671,Ada2/Gcn5/Ada3 transcription activator complex, 2
cellular_component,GO:0005672,transcription factor TFIIA complex, 4
cellular_component,GO:0005673,transcription factor TFIIE complex, 2
cellular_component,GO:0005674,transcription factor TFIIF complex, 3
cellular_component,GO:0005675,transcription factor TFIIH holo complex, 11
cellular_component,GO:0005677,chromatin silencing complex, 9
cellular_component,GO:0005680,anaphase-promoting complex, 19
cellular_component,GO:0005681,spliceosomal complex, 81
cellular_component,GO:0005682,U5 snRNP, 16
cellular_component,GO:0005684,U2-type spliceosomal complex, 10
cellular_component,GO:0005685,U1 snRNP, 19
cellular_component,GO:0005686,U2 snRNP, 27
cellular_component,GO:0005687,U4 snRNP, 11
cellular_component,GO:0005688,U6 snRNP, 9
cellular_component,GO:0005689,U12-type spliceosomal complex, 22
cellular_component,GO:0005694,chromosome, 41
cellular_component,GO:0005697,telomerase holoenzyme complex, 2
cellular_component,GO:0005712,chiasma, 2
cellular_component,GO:0005719,nuclear euchromatin, 8
cellular_component,GO:0005720,nuclear heterochromatin, 11
cellular_component,GO:0005730,nucleolus, 439
cellular_component,GO:0005732,small nucleolar ribonucleoprotein complex, 8
cellular_component,GO:0005736,RNA polymerase I complex, 18
cellular_component,GO:0005737,cytoplasm, 2323
cellular_component,GO:0005739,mitochondrion, 1464
cellular_component,GO:0005740,mitochondrial envelope, 10
cellular_component,GO:0005741,mitochondrial outer membrane, 30
cellular_component,GO:0005742,mitochondrial outer membrane translocase complex, 12
cellular_component,GO:0005743,mitochondrial inner membrane, 122
cellular_component,GO:0005744,TIM23 mitochondrial import inner membrane translocase complex, 16
cellular_component,GO:0005746,mitochondrial respirasome, 4
cellular_component,GO:0005747,mitochondrial respiratory chain complex I, 59
cellular_component,GO:0005749,"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)", 11
cellular_component,GO:0005750,mitochondrial respiratory chain complex III, 14
cellular_component,GO:0005751,mitochondrial respiratory chain complex IV, 2
cellular_component,GO:0005753,mitochondrial proton-transporting ATP synthase complex, 14
cellular_component,GO:0005758,mitochondrial intermembrane space, 27
cellular_component,GO:0005759,mitochondrial matrix, 88
cellular_component,GO:0005762,mitochondrial large ribosomal subunit, 22
cellular_component,GO:0005763,mitochondrial small ribosomal subunit, 15
cellular_component,GO:0005764,lysosome, 35
cellular_component,GO:0005765,lysosomal membrane, 19
cellular_component,GO:0005768,endosome, 274
cellular_component,GO:0005769,early endosome, 29
cellular_component,GO:0005770,late endosome, 37
cellular_component,GO:0005771,multivesicular body, 22
cellular_component,GO:0005773,vacuole, 584
cellular_component,GO:0005774,vacuolar membrane, 468
cellular_component,GO:0005775,vacuolar lumen, 3
cellular_component,GO:0005776,autophagosome, 13
cellular_component,GO:0005777,peroxisome, 280
cellular_component,GO:0005778,peroxisomal membrane, 33
cellular_component,GO:0005779,integral component of peroxisomal membrane, 12
cellular_component,GO:0005782,peroxisomal matrix, 5
cellular_component,GO:0005783,endoplasmic reticulum, 761
cellular_component,GO:0005784,Sec61 translocon complex, 4
cellular_component,GO:0005786,"signal recognition particle, endoplasmic reticulum targeting", 11
cellular_component,GO:0005787,signal peptidase complex, 7
cellular_component,GO:0005788,endoplasmic reticulum lumen, 40
cellular_component,GO:0005789,endoplasmic reticulum membrane, 433
cellular_component,GO:0005793,endoplasmic reticulum-Golgi intermediate compartment, 15
cellular_component,GO:0005794,Golgi apparatus, 874
cellular_component,GO:0005795,Golgi stack, 12
cellular_component,GO:0005797,Golgi medial cisterna, 51
cellular_component,GO:0005798,Golgi-associated vesicle, 5
cellular_component,GO:0005801,cis-Golgi network, 13
cellular_component,GO:0005802,trans-Golgi network, 262
cellular_component,GO:0005811,lipid droplet, 26
cellular_component,GO:0005814,centriole, 2
cellular_component,GO:0005815,microtubule organizing center, 10
cellular_component,GO:0005819,spindle, 72
cellular_component,GO:0005828,kinetochore microtubule, 5
cellular_component,GO:0005829,cytosol, 2763
cellular_component,GO:0005832,chaperonin-containing T-complex, 10
cellular_component,GO:0005834,heterotrimeric G-protein complex, 7
cellular_component,GO:0005838,proteasome regulatory particle, 2
cellular_component,GO:0005839,proteasome core complex, 24
cellular_component,GO:0005840,ribosome, 137
cellular_component,GO:0005844,polysome, 8
cellular_component,GO:0005845,mRNA cap binding complex, 6
cellular_component,GO:0005846,nuclear cap binding complex, 3
cellular_component,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex, 6
cellular_component,GO:0005849,mRNA cleavage factor complex, 7
cellular_component,GO:0005850,eukaryotic translation initiation factor 2 complex, 4
cellular_component,GO:0005851,eukaryotic translation initiation factor 2B complex, 8
cellular_component,GO:0005852,eukaryotic translation initiation factor 3 complex, 17
cellular_component,GO:0005853,eukaryotic translation elongation factor 1 complex, 4
cellular_component,GO:0005854,nascent polypeptide-associated complex, 7
cellular_component,GO:0005856,cytoskeleton, 76
cellular_component,GO:0005869,dynactin complex, 2
cellular_component,GO:0005871,kinesin complex, 30
cellular_component,GO:0005874,microtubule, 172
cellular_component,GO:0005875,microtubule associated complex, 10
cellular_component,GO:0005876,spindle microtubule, 16
cellular_component,GO:0005880,nuclear microtubule, 11
cellular_component,GO:0005881,cytoplasmic microtubule, 8
cellular_component,GO:0005884,actin filament, 9
cellular_component,GO:0005885,Arp2/3 protein complex, 10
cellular_component,GO:0005886,plasma membrane, 2860
cellular_component,GO:0005887,integral component of plasma membrane, 91
cellular_component,GO:0005901,caveola, 3
cellular_component,GO:0005905,clathrin-coated pit, 22
cellular_component,GO:0005938,cell cortex, 35
cellular_component,GO:0005947,mitochondrial alpha-ketoglutarate dehydrogenase complex, 5
cellular_component,GO:0005951,carbamoyl-phosphate synthase complex, 2
cellular_component,GO:0005953,CAAX-protein geranylgeranyltransferase complex, 2
cellular_component,GO:0005956,protein kinase CK2 complex, 7
cellular_component,GO:0005958,DNA-dependent protein kinase-DNA ligase 4 complex, 2
cellular_component,GO:0005960,glycine cleavage complex, 5
cellular_component,GO:0005965,protein farnesyltransferase complex, 2
cellular_component,GO:0005967,mitochondrial pyruvate dehydrogenase complex, 3
cellular_component,GO:0005968,Rab-protein geranylgeranyltransferase complex, 5
cellular_component,GO:0005971,ribonucleoside-diphosphate reductase complex, 2
cellular_component,GO:0008023,transcription elongation factor complex, 4
cellular_component,GO:0008024,cyclin/CDK positive transcription elongation factor complex, 4
cellular_component,GO:0008180,COP9 signalosome, 10
cellular_component,GO:0008250,oligosaccharyltransferase complex, 10
cellular_component,GO:0008274,gamma-tubulin ring complex, 2
cellular_component,GO:0008275,gamma-tubulin small complex, 2
cellular_component,GO:0008278,cohesin complex, 4
cellular_component,GO:0008287,protein serine/threonine phosphatase complex, 3
cellular_component,GO:0008290,F-actin capping protein complex, 2
cellular_component,GO:0008352,katanin complex, 4
cellular_component,GO:0008540,"proteasome regulatory particle, base subcomplex", 15
cellular_component,GO:0008541,"proteasome regulatory particle, lid subcomplex", 13
cellular_component,GO:0008622,epsilon DNA polymerase complex, 4
cellular_component,GO:0009295,nucleoid, 5
cellular_component,GO:0009317,acetyl-CoA carboxylase complex, 4
cellular_component,GO:0009328,phenylalanine-tRNA ligase complex, 2
cellular_component,GO:0009330,DNA topoisomerase complex (ATP-hydrolyzing), 4
cellular_component,GO:0009331,glycerol-3-phosphate dehydrogenase complex, 5
cellular_component,GO:0009344,nitrite reductase complex [NAD(P)H], 2
cellular_component,GO:0009346,citrate lyase complex, 4
cellular_component,GO:0009360,DNA polymerase III complex, 5
cellular_component,GO:0009361,succinate-CoA ligase complex (ADP-forming), 2
cellular_component,GO:0009368,endopeptidase Clp complex, 10
cellular_component,GO:0009501,amyloplast, 13
cellular_component,GO:0009504,cell plate, 31
cellular_component,GO:0009505,plant-type cell wall, 181
cellular_component,GO:0009506,plasmodesma, 840
cellular_component,GO:0009507,chloroplast, 1752
cellular_component,GO:0009508,plastid chromosome, 17
cellular_component,GO:0009509,chromoplast, 4
cellular_component,GO:0009512,cytochrome b6f complex, 6
cellular_component,GO:0009513,etioplast, 2
cellular_component,GO:0009514,glyoxysome, 9
cellular_component,GO:0009515,granal stacked thylakoid, 3
cellular_component,GO:0009517,PSII associated light-harvesting complex II, 6
cellular_component,GO:0009522,photosystem I, 31
cellular_component,GO:0009523,photosystem II, 36
cellular_component,GO:0009524,phragmoplast, 93
cellular_component,GO:0009526,plastid envelope, 6
cellular_component,GO:0009527,plastid outer membrane, 8
cellular_component,GO:0009528,plastid inner membrane, 5
cellular_component,GO:0009530,primary cell wall, 4
cellular_component,GO:0009531,secondary cell wall, 5
cellular_component,GO:0009532,plastid stroma, 20
cellular_component,GO:0009533,chloroplast stromal thylakoid, 8
cellular_component,GO:0009534,chloroplast thylakoid, 203
cellular_component,GO:0009535,chloroplast thylakoid membrane, 396
cellular_component,GO:0009536,plastid, 817
cellular_component,GO:0009538,photosystem I reaction center, 8
cellular_component,GO:0009539,photosystem II reaction center, 10
cellular_component,GO:0009543,chloroplast thylakoid lumen, 47
cellular_component,GO:0009544,chloroplast ATP synthase complex, 3
cellular_component,GO:0009569,chloroplast starch grain, 6
cellular_component,GO:0009570,chloroplast stroma, 623
cellular_component,GO:0009574,preprophase band, 14
cellular_component,GO:0009579,thylakoid, 206
cellular_component,GO:0009654,photosystem II oxygen evolving complex, 24
cellular_component,GO:0009705,plant-type vacuole membrane, 120
cellular_component,GO:0009706,chloroplast inner membrane, 82
cellular_component,GO:0009707,chloroplast outer membrane, 50
cellular_component,GO:0009783,photosystem II antenna complex, 2
cellular_component,GO:0009840,chloroplastic endopeptidase Clp complex, 7
cellular_component,GO:0009897,external side of plasma membrane, 4
cellular_component,GO:0009898,cytoplasmic side of plasma membrane, 8
cellular_component,GO:0009925,basal plasma membrane, 4
cellular_component,GO:0009941,chloroplast envelope, 493
cellular_component,GO:0009986,cell surface, 10
cellular_component,GO:0010005,"cortical microtubule, transverse to long axis", 12
cellular_component,GO:0010006,Toc complex, 2
cellular_component,GO:0010007,magnesium chelatase complex, 4
cellular_component,GO:0010008,endosome membrane, 83
cellular_component,GO:0010168,ER body, 12
cellular_component,GO:0010287,plastoglobule, 74
cellular_component,GO:0010319,stromule, 33
cellular_component,GO:0010330,cellulose synthase complex, 4
cellular_component,GO:0010369,chromocenter, 11
cellular_component,GO:0010370,perinucleolar chromocenter, 2
cellular_component,GO:0010445,nuclear dicing body, 5
cellular_component,GO:0010494,cytoplasmic stress granule, 28
cellular_component,GO:0010598,NAD(P)H dehydrogenase complex (plastoquinone), 12
cellular_component,GO:0012505,endomembrane system, 127
cellular_component,GO:0012506,vesicle membrane, 4
cellular_component,GO:0012507,ER to Golgi transport vesicle membrane, 14
cellular_component,GO:0012510,trans-Golgi network transport vesicle membrane, 2
cellular_component,GO:0012511,monolayer-surrounded lipid storage body, 20
cellular_component,GO:0015030,Cajal body, 15
cellular_component,GO:0015629,actin cytoskeleton, 33
cellular_component,GO:0015630,microtubule cytoskeleton, 12
cellular_component,GO:0015934,large ribosomal subunit, 18
cellular_component,GO:0015935,small ribosomal subunit, 35
cellular_component,GO:0016020,membrane, 707
cellular_component,GO:0016021,integral component of membrane, 5065
cellular_component,GO:0016035,zeta DNA polymerase complex, 2
cellular_component,GO:0016272,prefoldin complex, 7
cellular_component,GO:0016281,eukaryotic translation initiation factor 4F complex, 9
cellular_component,GO:0016282,eukaryotic 43S preinitiation complex, 21
cellular_component,GO:0016324,apical plasma membrane, 17
cellular_component,GO:0016328,lateral plasma membrane, 4
cellular_component,GO:0016363,nuclear matrix, 9
cellular_component,GO:0016442,RISC complex, 2
cellular_component,GO:0016459,myosin complex, 17
cellular_component,GO:0016471,vacuolar proton-transporting V-type ATPase complex, 8
cellular_component,GO:0016514,SWI/SNF complex, 9
cellular_component,GO:0016591,"RNA polymerase II, holoenzyme", 2
cellular_component,GO:0016592,mediator complex, 49
cellular_component,GO:0016593,Cdc73/Paf1 complex, 8
cellular_component,GO:0016602,CCAAT-binding factor complex, 11
cellular_component,GO:0016604,nuclear body, 20
cellular_component,GO:0016605,PML body, 5
cellular_component,GO:0016607,nuclear speck, 88
cellular_component,GO:0017053,transcriptional repressor complex, 6
cellular_component,GO:0017059,serine C-palmitoyltransferase complex, 3
cellular_component,GO:0017087,mitochondrial processing peptidase complex, 3
cellular_component,GO:0017101,aminoacyl-tRNA synthetase multienzyme complex, 4
cellular_component,GO:0017119,Golgi transport complex, 16
cellular_component,GO:0018444,translation release factor complex, 3
cellular_component,GO:0019005,SCF ubiquitin ligase complex, 64
cellular_component,GO:0019008,molybdopterin synthase complex, 3
cellular_component,GO:0019013,viral nucleocapsid, 15
cellular_component,GO:0019031,viral envelope, 3
cellular_component,GO:0019185,snRNA-activating protein complex, 2
cellular_component,GO:0019773,"proteasome core complex, alpha-subunit complex", 13
cellular_component,GO:0019774,"proteasome core complex, beta-subunit complex", 11
cellular_component,GO:0019897,extrinsic component of plasma membrane, 8
cellular_component,GO:0019898,extrinsic component of membrane, 38
cellular_component,GO:0022625,cytosolic large ribosomal subunit, 136
cellular_component,GO:0022626,cytosolic ribosome, 194
cellular_component,GO:0022627,cytosolic small ribosomal subunit, 105
cellular_component,GO:0030008,TRAPP complex, 5
cellular_component,GO:0030014,CCR4-NOT complex, 10
cellular_component,GO:0030015,CCR4-NOT core complex, 16
cellular_component,GO:0030093,chloroplast photosystem I, 3
cellular_component,GO:0030117,membrane coat, 4
cellular_component,GO:0030119,AP-type membrane coat adaptor complex, 2
cellular_component,GO:0030121,AP-1 adaptor complex, 2
cellular_component,GO:0030122,AP-2 adaptor complex, 2
cellular_component,GO:0030123,AP-3 adaptor complex, 2
cellular_component,GO:0030124,AP-4 adaptor complex, 3
cellular_component,GO:0030125,clathrin vesicle coat, 9
cellular_component,GO:0030126,COPI vesicle coat, 15
cellular_component,GO:0030127,COPII vesicle coat, 18
cellular_component,GO:0030130,clathrin coat of trans-Golgi network vesicle, 5
cellular_component,GO:0030131,clathrin adaptor complex, 9
cellular_component,GO:0030132,clathrin coat of coated pit, 5
cellular_component,GO:0030133,transport vesicle, 5
cellular_component,GO:0030134,COPII-coated ER to Golgi transport vesicle, 16
cellular_component,GO:0030136,clathrin-coated vesicle, 28
cellular_component,GO:0030139,endocytic vesicle, 4
cellular_component,GO:0030140,trans-Golgi network transport vesicle, 3
cellular_component,GO:0030141,secretory granule, 3
cellular_component,GO:0030173,integral component of Golgi membrane, 30
cellular_component,GO:0030176,integral component of endoplasmic reticulum membrane, 47
cellular_component,GO:0030286,dynein complex, 6
cellular_component,GO:0030532,small nuclear ribonucleoprotein complex, 2
cellular_component,GO:0030658,transport vesicle membrane, 5
cellular_component,GO:0030659,cytoplasmic vesicle membrane, 20
cellular_component,GO:0030660,Golgi-associated vesicle membrane, 5
cellular_component,GO:0030665,clathrin-coated vesicle membrane, 13
cellular_component,GO:0030686,90S preribosome, 5
cellular_component,GO:0030687,"preribosome, large subunit precursor", 17
cellular_component,GO:0030688,"preribosome, small subunit precursor", 8
cellular_component,GO:0030690,Noc1p-Noc2p complex, 2
cellular_component,GO:0030691,Noc2p-Noc3p complex, 2
cellular_component,GO:0030863,cortical cytoskeleton, 2
cellular_component,GO:0030864,cortical actin cytoskeleton, 3
cellular_component,GO:0030870,Mre11 complex, 3
cellular_component,GO:0030875,rDNA protrusion, 7
cellular_component,GO:0030891,VCB complex, 3
cellular_component,GO:0030896,checkpoint clamp complex, 3
cellular_component,GO:0030897,HOPS complex, 7
cellular_component,GO:0030904,retromer complex, 9
cellular_component,GO:0030906,"retromer, cargo-selective complex", 4
cellular_component,GO:0030915,Smc5-Smc6 complex, 8
cellular_component,GO:0030956,glutamyl-tRNA(Gln) amidotransferase complex, 3
cellular_component,GO:0030964,NADH dehydrogenase complex, 4
cellular_component,GO:0030981,cortical microtubule cytoskeleton, 3
cellular_component,GO:0031011,Ino80 complex, 17
cellular_component,GO:0031012,extracellular matrix, 17
cellular_component,GO:0031021,interphase microtubule organizing center, 2
cellular_component,GO:0031080,nuclear pore outer ring, 7
cellular_component,GO:0031083,BLOC-1 complex, 3
cellular_component,GO:0031090,organelle membrane, 7
cellular_component,GO:0031201,SNARE complex, 42
cellular_component,GO:0031205,endoplasmic reticulum Sec complex, 3
cellular_component,GO:0031207,Sec62/Sec63 complex, 2
cellular_component,GO:0031209,SCAR complex, 7
cellular_component,GO:0031225,anchored component of membrane, 194
cellular_component,GO:0031234,extrinsic component of cytoplasmic side of plasma membrane, 2
cellular_component,GO:0031261,DNA replication preinitiation complex, 3
cellular_component,GO:0031262,Ndc80 complex, 3
cellular_component,GO:0031298,replication fork protection complex, 6
cellular_component,GO:0031303,integral component of endosome membrane, 2
cellular_component,GO:0031304,intrinsic component of mitochondrial inner membrane, 2
cellular_component,GO:0031305,integral component of mitochondrial inner membrane, 27
cellular_component,GO:0031307,integral component of mitochondrial outer membrane, 15
cellular_component,GO:0031314,extrinsic component of mitochondrial inner membrane, 7
cellular_component,GO:0031357,integral component of chloroplast inner membrane, 3
cellular_component,GO:0031359,integral component of chloroplast outer membrane, 15
cellular_component,GO:0031361,integral component of thylakoid membrane, 2
cellular_component,GO:0031372,UBC13-MMS2 complex, 4
cellular_component,GO:0031380,nuclear RNA-directed RNA polymerase complex, 6
cellular_component,GO:0031390,Ctf18 RFC-like complex, 3
cellular_component,GO:0031410,cytoplasmic vesicle, 47
cellular_component,GO:0031415,NatA complex, 2
cellular_component,GO:0031416,NatB complex, 2
cellular_component,GO:0031417,NatC complex, 3
cellular_component,GO:0031428,box C/D snoRNP complex, 5
cellular_component,GO:0031429,box H/ACA snoRNP complex, 5
cellular_component,GO:0031436,BRCA1-BARD1 complex, 2
cellular_component,GO:0031461,cullin-RING ubiquitin ligase complex, 11
cellular_component,GO:0031463,Cul3-RING ubiquitin ligase complex, 2
cellular_component,GO:0031464,Cul4A-RING E3 ubiquitin ligase complex, 7
cellular_component,GO:0031510,SUMO activating enzyme complex, 2
cellular_component,GO:0031515,tRNA (m1A) methyltransferase complex, 2
cellular_component,GO:0031519,PcG protein complex, 5
cellular_component,GO:0031588,nucleotide-activated protein kinase complex, 7
cellular_component,GO:0031595,nuclear proteasome complex, 2
cellular_component,GO:0031597,cytosolic proteasome complex, 4
cellular_component,GO:0031897,Tic complex, 3
cellular_component,GO:0031901,early endosome membrane, 16
cellular_component,GO:0031902,late endosome membrane, 61
cellular_component,GO:0031931,TORC1 complex, 5
cellular_component,GO:0031932,TORC2 complex, 3
cellular_component,GO:0031965,nuclear membrane, 42
cellular_component,GO:0031966,mitochondrial membrane, 64
cellular_component,GO:0031969,chloroplast membrane, 139
cellular_component,GO:0031972,chloroplast intermembrane space, 5
cellular_component,GO:0031977,thylakoid lumen, 51
cellular_component,GO:0031982,vesicle, 45
cellular_component,GO:0031985,Golgi cisterna, 2
cellular_component,GO:0032039,integrator complex, 2
cellular_component,GO:0032040,small-subunit processome, 36
cellular_component,GO:0032044,DSIF complex, 6
cellular_component,GO:0032133,chromosome passenger complex, 3
cellular_component,GO:0032153,cell division site, 4
cellular_component,GO:0032299,ribonuclease H2 complex, 3
cellular_component,GO:0032300,mismatch repair complex, 9
cellular_component,GO:0032301,MutSalpha complex, 3
cellular_component,GO:0032302,MutSbeta complex, 2
cellular_component,GO:0032389,MutLalpha complex, 2
cellular_component,GO:0032432,actin filament bundle, 5
cellular_component,GO:0032541,cortical endoplasmic reticulum, 3
cellular_component,GO:0032580,Golgi cisterna membrane, 31
cellular_component,GO:0032585,multivesicular body membrane, 7
cellular_component,GO:0032586,protein storage vacuole membrane, 9
cellular_component,GO:0032588,trans-Golgi network membrane, 17
cellular_component,GO:0032592,integral component of mitochondrial membrane, 4
cellular_component,GO:0032777,Piccolo NuA4 histone acetyltransferase complex, 3
cellular_component,GO:0032783,ELL-EAF complex, 2
cellular_component,GO:0032797,SMN complex, 3
cellular_component,GO:0032807,DNA ligase IV complex, 3
cellular_component,GO:0032991,protein-containing complex, 23
cellular_component,GO:0032993,protein-DNA complex, 3
cellular_component,GO:0033063,Rad51B-Rad51C-Rad51D-XRCC2 complex, 4
cellular_component,GO:0033065,Rad51C-XRCC3 complex, 2
cellular_component,GO:0033106,cis-Golgi network membrane, 2
cellular_component,GO:0033116,endoplasmic reticulum-Golgi intermediate compartment membrane, 2
cellular_component,GO:0033178,"proton-transporting two-sector ATPase complex, catalytic domain", 3
cellular_component,GO:0033179,"proton-transporting V-type ATPase, V0 domain", 10
cellular_component,GO:0033180,"proton-transporting V-type ATPase, V1 domain", 5
cellular_component,GO:0033185,dolichol-phosphate-mannose synthase complex, 3
cellular_component,GO:0033186,CAF-1 complex, 2
cellular_component,GO:0033263,CORVET complex, 7
cellular_component,GO:0033281,TAT protein transport complex, 4
cellular_component,GO:0033290,eukaryotic 48S preinitiation complex, 23
cellular_component,GO:0033557,Slx1-Slx4 complex, 2
cellular_component,GO:0033588,Elongator holoenzyme complex, 7
cellular_component,GO:0033597,mitotic checkpoint complex, 5
cellular_component,GO:0034045,phagophore assembly site membrane, 12
cellular_component,GO:0034066,RIC1-RGP1 guanyl-nucleotide exchange factor complex, 2
cellular_component,GO:0034098,VCP-NPL4-UFD1 AAA ATPase complex, 3
cellular_component,GO:0034245,mitochondrial DNA-directed RNA polymerase complex, 3
cellular_component,GO:0034271,"phosphatidylinositol 3-kinase complex, class III, type I", 3
cellular_component,GO:0034272,"phosphatidylinositol 3-kinase complex, class III, type II", 3
cellular_component,GO:0034274,Atg12-Atg5-Atg16 complex, 3
cellular_component,GO:0034388,Pwp2p-containing subcomplex of 90S preribosome, 3
cellular_component,GO:0034399,nuclear periphery, 8
cellular_component,GO:0034426,etioplast membrane, 5
cellular_component,GO:0034457,Mpp10 complex, 2
cellular_component,GO:0034515,proteasome storage granule, 5
cellular_component,GO:0034657,GID complex, 3
cellular_component,GO:0034663,endoplasmic reticulum chaperone complex, 4
