#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,14,3837,0.000312647188581797,0.00648742916307228,"Q8L7C9, Q9S702, Q96324, Q94IA6, Q9LYT7, Q9LZJ1, Q6NLQ7, O64749, Q9ZW84, O22862, Q9SU39, Q93WN0, Q9STW8, Q9C5M8",,Q8L7C9; Q9S702; Q96324; Q94IA6; Q9LYT7; Q9LZJ1; Q6NLQ7; O64749; Q9ZW84; O22862; Q9SU39; Q93WN0; Q9STW8; Q9C5M8
Protein processing in endoplasmic reticulum,n/a,map04141,1,364,0.362501068131417,0.376094858186345,Q9SRZ0,,Q9SRZ0
PI3K-Akt signaling pathway,n/a,map04151,1,155,0.174899493680593,0.22682278086702,Q8RWC9,,Q8RWC9
AMPK signaling pathway,n/a,map04152,2,141,0.0136403196650015,0.0730417117545242,"Q39071, Q8RWC9",,Q39071; Q8RWC9
Human papillomavirus infection,n/a,map05165,1,212,0.230917322761861,0.262549832729239,Q39071,,Q39071
Epstein-Barr virus infection,n/a,map05169,1,154,0.173881387383219,0.229081827822337,Q39071,,Q39071
Autophagy - animal,n/a,map04140,1,145,0.164662093489487,0.224048422288974,Q8RWC9,,Q8RWC9
Brassinosteroid biosynthesis,n/a,map00905,1,15,0.0195137140574517,0.0899799037093605,Q94IA6,,Q94IA6
Glucosinolate biosynthesis,n/a,map00966,7,47,6.2663866114527E-13,5.20110088750574E-11,"Q9FG67, Q9FUY7, Q9FZ80, Q9FN52, Q9LE06, Q9LYT7, Q9ZW84",,Q9FG67; Q9FUY7; Q9FZ80; Q9FN52; Q9LE06; Q9LYT7; Q9ZW84
2-Oxocarboxylic acid metabolism,n/a,map01210,7,126,4.05874845488457E-10,1.6843806087771E-08,"Q9FG67, Q9FUY7, Q9FN52, Q9S702, Q9LE06, Q9LYT7, Q9ZW84",,Q9FG67; Q9FUY7; Q9FN52; Q9S702; Q9LE06; Q9LYT7; Q9ZW84
Drug metabolism - other enzymes,n/a,map00983,2,141,0.0136403196650015,0.0730417117545242,"Q8L7C9, Q96324",,Q8L7C9; Q96324
Amino sugar and nucleotide sugar metabolism,n/a,map00520,1,249,0.265240576291188,0.289670629370639,O64749,,O64749
Biosynthesis of amino acids,n/a,map01230,1,419,0.404383773325424,0.414368557851977,Q9S702,,Q9S702
Longevity regulating pathway,n/a,map04211,1,65,0.0780889182950886,0.182574090661756,Q8RWC9,,Q8RWC9
Cysteine and methionine metabolism,n/a,map00270,1,201,0.220409323778487,0.254082970466867,Q9S702,,Q9S702
"Valine, leucine and isoleucine biosynthesis",n/a,map00290,2,39,0.00119567937619766,0.0165402313707343,"Q9LYT7, Q9ZW84",,Q9LYT7; Q9ZW84
Cellular senescence,n/a,map04218,1,140,0.15949617846756,0.222490467442143,Q39071,,Q39071
Pathways in cancer,n/a,map05200,4,283,0.000465818980073314,0.00773259506921702,"Q9SRZ0, Q8L7C9, Q39071, Q96324",,Q9SRZ0; Q8L7C9; Q39071; Q96324
Transcriptional misregulation in cancer,n/a,map05202,1,78,0.0927403661447343,0.179010474186348,Q39071,,Q39071
Acute myeloid leukemia,n/a,map05221,1,26,0.032709508371471,0.12340405431055,Q39071,,Q39071
Hepatitis B,n/a,map05161,1,54,0.0655081341550838,0.162303735369312,Q39071,,Q39071
Progesterone-mediated oocyte maturation,n/a,map04914,1,65,0.0780889182950886,0.182574090661756,Q39071,,Q39071
FoxO signaling pathway,n/a,map04068,1,90,0.106059383011295,0.183394349790364,Q8RWC9,,Q8RWC9
Gastric cancer,n/a,map05226,1,54,0.0655081341550838,0.162303735369312,Q9M0M2,,Q9M0M2
MicroRNAs in cancer,n/a,map05206,1,95,0.111551481672483,0.188954550588084,Q9M0M2,,Q9M0M2
ABC transporters,n/a,map02010,1,35,0.0433747350556449,0.13333714850439,Q9M0M2,,Q9M0M2
Bile secretion,n/a,map04976,1,32,0.0398327024614152,0.127158242472979,Q9M0M2,,Q9M0M2
Human immunodeficiency virus 1 infection,n/a,map05170,1,172,0.192017839465514,0.227678295366252,Q9SRZ0,,Q9SRZ0
Hepatocellular carcinoma,n/a,map05225,2,119,0.0099267905078299,0.0588516865821344,"Q8L7C9, Q96324",,Q8L7C9; Q96324
Thermogenesis,n/a,map04714,1,259,0.274253004796652,0.291833325616951,Q8RWC9,,Q8RWC9
Longevity regulating pathway - multiple species,n/a,map04213,1,73,0.0871327691009197,0.180800495884408,Q8RWC9,,Q8RWC9
Lysine biosynthesis,n/a,map00300,1,30,0.0374641130461766,0.129563390951361,Q9S702,,Q9S702
Apelin signaling pathway,n/a,map04371,1,69,0.0826219140310848,0.185341050394055,Q8RWC9,,Q8RWC9
Axon regeneration,n/a,map04361,1,87,0.102747950122257,0.183399566884888,Q8RWC9,,Q8RWC9
Fluid shear stress and atherosclerosis,n/a,map05418,3,197,0.00201023395527464,0.0238356311839707,"Q8L7C9, Q96324, Q8RWC9",,Q8L7C9; Q96324; Q8RWC9
Insulin signaling pathway,n/a,map04910,1,135,0.154298530443258,0.220806517703282,Q8RWC9,,Q8RWC9
Oxytocin signaling pathway,n/a,map04921,1,79,0.0938577727103975,0.177049889430977,Q8RWC9,,Q8RWC9
Glucagon signaling pathway,n/a,map04922,1,133,0.152210542740691,0.221639913113637,Q8RWC9,,Q8RWC9
RNA transport,n/a,map03013,1,285,0.29717468762035,0.312221507246697,Q6AWV1,,Q6AWV1
Glycerophospholipid metabolism,n/a,map00564,1,164,0.184006545969979,0.227948407694153,Q9XI60,,Q9XI60
Wnt signaling pathway,n/a,map04310,1,158,0.177946340565596,0.227223788722223,Q9SRZ0,,Q9SRZ0
TGF-beta signaling pathway,n/a,map04350,1,70,0.0837516992937629,0.182931343194272,Q9SRZ0,,Q9SRZ0
Circadian rhythm,n/a,map04710,2,60,0.00271106609650204,0.0281273107512087,"Q9SRZ0, Q8RWC9",,Q9SRZ0; Q8RWC9
Quorum sensing,n/a,map02024,1,115,0.133186719935521,0.200990868266332,Q9C5M8,,Q9C5M8
Tight junction,n/a,map04530,1,98,0.114830639038673,0.190618860804197,Q8RWC9,,Q8RWC9
Basal transcription factors,n/a,map03022,1,87,0.102747950122257,0.183399566884888,Q6PUA2,,Q6PUA2
Pentose and glucuronate interconversions,n/a,map00040,1,152,0.171841429642027,0.230045784843359,Q9C5M8,,Q9C5M8
mTOR signaling pathway,n/a,map04150,1,103,0.120269206179156,0.191968156016729,Q8RWC9,,Q8RWC9
Two-component system,n/a,map02020,1,99,0.115921017683184,0.188655773876554,Q9STW8,,Q9STW8
Non-alcoholic fatty liver disease (NAFLD),n/a,map04932,1,160,0.179971360201086,0.22632761964682,Q8RWC9,,Q8RWC9
Ribosome biogenesis in eukaryotes,n/a,map03008,1,140,0.15949617846756,0.222490467442143,Q6AWV1,,Q6AWV1
Riboflavin metabolism,n/a,map00740,1,31,0.0386491323672189,0.128315119459167,Q6NLQ7,,Q6NLQ7
Folate biosynthesis,n/a,map00790,1,43,0.0527568273840491,0.141252150737938,Q6NLQ7,,Q6NLQ7
Glutathione metabolism,n/a,map00480,2,172,0.0197267448251251,0.0861747273939678,"Q8L7C9, Q96324",,Q8L7C9; Q96324
Insulin resistance,n/a,map04931,1,75,0.0893799274418287,0.178759854883657,Q8RWC9,,Q8RWC9
Fanconi anemia pathway,n/a,map03460,1,75,0.0893799274418287,0.178759854883657,Q5XUX6,,Q5XUX6
Platinum drug resistance,n/a,map01524,2,115,0.00930844941969595,0.0594308693719049,"Q8L7C9, Q96324",,Q8L7C9; Q96324
Adipocytokine signaling pathway,n/a,map04920,1,36,0.0445525258783769,0.132066415996617,Q8RWC9,,Q8RWC9
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,2,89,0.00573553411515,0.0432772119597682,"Q8L7C9, Q96324",,Q8L7C9; Q96324
Drug metabolism - cytochrome P450,n/a,map00982,2,92,0.00610737535812444,0.0422426795603607,"Q8L7C9, Q96324",,Q8L7C9; Q96324
Diterpenoid biosynthesis,n/a,map00904,1,40,0.0492493023434445,0.136256403150197,O49561,,O49561
Chemical carcinogenesis,n/a,map05204,2,84,0.00513986386046605,0.0426608700418682,"Q8L7C9, Q96324",,Q8L7C9; Q96324
Hypertrophic cardiomyopathy (HCM),n/a,map05410,1,14,0.0183052661597903,0.0893727700742701,Q8RWC9,,Q8RWC9
