#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,7,3837,0.0226469279585886,0.041128903648931,"Q9SRW9, Q9SA18, Q9FMT1, F4J5Z7, O64882, Q9LDA4, Q94AR8",,Q9SRW9; Q9SA18; Q9FMT1; F4J5Z7; O64882; Q9LDA4; Q94AR8
2-Oxocarboxylic acid metabolism,n/a,map01210,2,126,0.0040414127782877,0.0155742248529136,"Q9FMT1, Q94AR8",,Q9FMT1; Q94AR8
Toxoplasmosis,n/a,map05145,1,81,0.0581938453585277,0.0756759470505957,Q9LQQ9,,Q9LQQ9
Amino sugar and nucleotide sugar metabolism,n/a,map00520,1,249,0.167163870909511,0.17039930066905,Q9SRW9,,Q9SRW9
Alzheimer disease,n/a,map05010,2,426,0.0394701815798657,0.0582830718655961,"Q9LQQ9, Q9FJV7",,Q9LQQ9; Q9FJV7
Biosynthesis of amino acids,n/a,map01230,2,419,0.0383127411707938,0.0587710010192759,"Q9SA18, Q94AR8",,Q9SA18; Q94AR8
Cysteine and methionine metabolism,n/a,map00270,1,201,0.137369534657204,0.142792016288409,Q9SA18,,Q9SA18
"Valine, leucine and isoleucine biosynthesis",n/a,map00290,2,39,0.000424893100229364,0.00671331098362395,"Q9FMT1, Q94AR8",,Q9FMT1; Q94AR8
Cellular senescence,n/a,map04218,2,140,0.00494483506046969,0.0177564531716866,"Q9LQQ9, Q9FJV7",,Q9LQQ9; Q9FJV7
Pathways in cancer,n/a,map05200,4,283,6.29414423600592E-05,0.00248618697322234,"Q9LQQ9, Q7Y1C4, Q7Y1C5, O82480",,Q9LQQ9; Q7Y1C4; Q7Y1C5; O82480
Acute myeloid leukemia,n/a,map05221,1,26,0.0195435850798688,0.0398436960337971,Q9LQQ9,,Q9LQQ9
Hepatitis B,n/a,map05161,1,54,0.0394121131890103,0.0593058465129869,Q9LQQ9,,Q9LQQ9
Progesterone-mediated oocyte maturation,n/a,map04914,3,65,1.82563153968713E-05,0.000961499277568553,"Q9LQQ9, F4KEC6, O22806",,Q9LQQ9; F4KEC6; O22806
Choline metabolism in cancer,n/a,map05231,2,96,0.00239709812169802,0.0122174678460738,"Q9LQQ9, O82480",,Q9LQQ9; O82480
FoxO signaling pathway,n/a,map04068,1,90,0.0643733703179545,0.079460878986225,Q9LQQ9,,Q9LQQ9
Prostate cancer,n/a,map05215,1,43,0.0316545508659832,0.0505193842103571,Q9LQQ9,,Q9LQQ9
Gastric cancer,n/a,map05226,1,54,0.0394121131890103,0.0593058465129869,Q9LQQ9,,Q9LQQ9
Cushing syndrome,n/a,map04934,1,24,0.0181089557856556,0.0381495335217812,Q9LQQ9,,Q9LQQ9
MicroRNAs in cancer,n/a,map05206,1,95,0.0677890989133338,0.0817608979260057,Q9LQQ9,,Q9LQQ9
Human immunodeficiency virus 1 infection,n/a,map05170,2,172,0.00732278335472951,0.0214259216675419,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Pancreatic secretion,n/a,map04972,1,63,0.0457134781032837,0.0662635737643929,O82480,,O82480
Hepatocellular carcinoma,n/a,map05225,1,119,0.0840137320080668,0.0961896351976417,Q9LQQ9,,Q9LQQ9
Phagosome,n/a,map04145,1,159,0.11043655334443,0.117107217640402,O82480,,O82480
Amyotrophic lateral sclerosis (ALS),n/a,map05014,1,87,0.0623179962268401,0.0778359162358951,O82480,,O82480
Lysine biosynthesis,n/a,map00300,1,30,0.022406628813131,0.0411656668892406,Q9SA18,,Q9SA18
Calcium signaling pathway,n/a,map04020,1,80,0.0575047453607907,0.0766729938143876,Q9FJV7,,Q9FJV7
cGMP-PKG signaling pathway,n/a,map04022,1,78,0.0561250493460047,0.0771109373623369,Q9LQQ9,,Q9LQQ9
Influenza A,n/a,map05164,1,80,0.0575047453607907,0.0766729938143876,Q9LQQ9,,Q9LQQ9
Apelin signaling pathway,n/a,map04371,1,69,0.0498916635530269,0.0703828825123058,Q9LQQ9,,Q9LQQ9
Kaposi sarcoma-associated herpesvirus infection,n/a,map05167,2,138,0.00481058388366171,0.0176760989213616,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Ras signaling pathway,n/a,map04014,2,71,0.00134119354676055,0.00921341653861598,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Axon regeneration,n/a,map04361,2,87,0.00198341316137809,0.0108061820516461,"O48771, O82480",,O48771; O82480
Rap1 signaling pathway,n/a,map04015,2,54,0.00079230337112703,0.00807638275084327,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Glioma,n/a,map05214,1,34,0.0252614057960689,0.0443478012864321,Q9LQQ9,,Q9LQQ9
Fluid shear stress and atherosclerosis,n/a,map05418,1,197,0.134839619900451,0.141090463207095,O82480,,O82480
Pertussis,n/a,map05133,1,38,0.0281079396460256,0.0467479417270741,Q9LQQ9,,Q9LQQ9
Human cytomegalovirus infection,n/a,map05163,2,93,0.0022550535709863,0.0118766154738612,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Alcoholism,n/a,map05034,1,144,0.1006175027008,0.109638382253285,Q9LQQ9,,Q9LQQ9
Vascular smooth muscle contraction,n/a,map04270,1,37,0.0273970776817559,0.0460504071672068,Q9LQQ9,,Q9LQQ9
Insulin signaling pathway,n/a,map04910,1,135,0.094674712945294,0.104605626890605,Q9LQQ9,,Q9LQQ9
GnRH signaling pathway,n/a,map04912,1,41,0.0302374446170343,0.048750165811137,Q9LQQ9,,Q9LQQ9
Estrogen signaling pathway,n/a,map04915,1,48,0.0351883647445018,0.0553210112401123,Q9LQQ9,,Q9LQQ9
Melanogenesis,n/a,map04916,1,29,0.021691643807593,0.040800949066663,Q9LQQ9,,Q9LQQ9
Oxytocin signaling pathway,n/a,map04921,1,79,0.0568151468041176,0.0767247281628255,Q9LQQ9,,Q9LQQ9
Circadian entrainment,n/a,map04713,1,19,0.0145132954639877,0.032994254436116,Q9LQQ9,,Q9LQQ9
C-type lectin receptor signaling pathway,n/a,map04625,1,40,0.0295281227369017,0.0480973545611388,Q9LQQ9,,Q9LQQ9
Long-term potentiation,n/a,map04720,1,65,0.047108221239683,0.0676645359624538,Q9LQQ9,,Q9LQQ9
HIF-1 signaling pathway,n/a,map04066,1,107,0.0759366235481671,0.0882204891221353,Q9LQQ9,,Q9LQQ9
Wnt signaling pathway,n/a,map04310,1,158,0.109785260592867,0.117203183605898,O82480,,O82480
TGF-beta signaling pathway,n/a,map04350,1,70,0.0505862670687001,0.0707312406801294,Q9LQQ9,,Q9LQQ9
Retrograde endocannabinoid signaling,n/a,map04723,1,83,0.059570551236817,0.0752971767633367,Q9LQQ9,,Q9LQQ9
Apoptosis,n/a,map04210,1,51,0.0373025293552196,0.0577823493933794,Q9LQQ9,,Q9LQQ9
Tight junction,n/a,map04530,1,98,0.069832614674317,0.0829590460040759,O82480,,O82480
Yersinia infection,n/a,map05135,2,59,0.000939270641081549,0.00742023806454424,"Q9LQQ9, O82480",,Q9LQQ9; O82480
SNARE interactions in vesicular transport,n/a,map04130,1,93,0.0664242895847978,0.0813568818170392,Q9LFP1,,Q9LFP1
Basal transcription factors,n/a,map03022,1,87,0.0623179962268401,0.0778359162358951,Q6PUA2,,Q6PUA2
Galactose metabolism,n/a,map00052,1,96,0.0684707635723685,0.0819574291245017,F4J5Z7,,F4J5Z7
mTOR signaling pathway,n/a,map04150,1,103,0.0732286359083346,0.0863442124889318,Q9LQQ9,,Q9LQQ9
Epithelial cell signaling in Helicobacter pylori infection,n/a,map05120,1,82,0.0588824472211611,0.0750276343624472,O82480,,O82480
Non-alcoholic fatty liver disease (NAFLD),n/a,map04932,1,160,0.111087374976095,0.11701203497482,O82480,,O82480
MAPK signaling pathway - fly,n/a,map04013,2,100,0.00259290437301417,0.0124145118465527,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Ribosome biogenesis in eukaryotes,n/a,map03008,1,140,0.0979810398529529,0.107506974283101,Q94AH9,,Q94AH9
Focal adhesion,n/a,map04510,2,81,0.00172849436056394,0.0103057399610982,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Adherens junction,n/a,map04520,2,51,0.000709968056867338,0.00801249664178852,"Q9LQQ9, O82480",,Q9LQQ9; O82480
MAPK signaling pathway,n/a,map04010,2,81,0.00172849436056394,0.0103057399610982,"Q9LQQ9, O82480",,Q9LQQ9; O82480
VEGF signaling pathway,n/a,map04370,2,57,0.000879026735402223,0.00771590134408618,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Proteoglycans in cancer,n/a,map05205,2,69,0.00126941795412372,0.00911672894325217,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Colorectal cancer,n/a,map05210,2,55,0.000820724546795316,0.00762791049374471,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Renal cell carcinoma,n/a,map05211,2,49,0.000657525152992195,0.00799145955175129,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Pancreatic cancer,n/a,map05212,4,65,2.21931199264502E-07,3.50651294837913E-05,"Q9LQQ9, Q7Y1C4, Q7Y1C5, O82480",,Q9LQQ9; Q7Y1C4; Q7Y1C5; O82480
Viral myocarditis,n/a,map05416,1,36,0.0266857016369341,0.045582063336601,O82480,,O82480
AGE-RAGE signaling pathway in diabetic complications,n/a,map04933,2,41,0.00046745602291039,0.0067143683290765,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Axon guidance,n/a,map04360,2,79,0.00164726303948741,0.0104107024095605,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Osteoclast differentiation,n/a,map04380,2,61,0.00100145059614335,0.00753472353288806,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Chemokine signaling pathway,n/a,map04062,2,37,0.000384323460093157,0.00674701185496876,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Toll-like receptor signaling pathway,n/a,map04620,2,31,0.000274632203009844,0.00723198134592588,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Natural killer cell mediated cytotoxicity,n/a,map04650,2,54,0.00079230337112703,0.00807638275084327,"Q9LQQ9, O82480",,Q9LQQ9; O82480
B cell receptor signaling pathway,n/a,map04662,2,58,0.000908906328153906,0.00755827367622722,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Fc epsilon RI signaling pathway,n/a,map04664,2,34,0.000327219074842981,0.00646257672814888,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Leukocyte transendothelial migration,n/a,map04670,1,27,0.0202601223132952,0.0400137415687581,O82480,,O82480
Gap junction,n/a,map04540,1,36,0.0266857016369341,0.045582063336601,Q9LQQ9,,Q9LQQ9
Central carbon metabolism in cancer,n/a,map05230,1,94,0.0671069410402187,0.0815607437258042,Q9LQQ9,,Q9LQQ9
Fanconi anemia pathway,n/a,map03460,2,75,0.00149044601936605,0.00981210296082649,"Q7Y1C4, Q7Y1C5",,Q7Y1C4; Q7Y1C5
Homologous recombination,n/a,map03440,2,104,0.00279600054006086,0.0129931789802828,"Q7Y1C4, Q7Y1C5",,Q7Y1C4; Q7Y1C5
EGFR tyrosine kinase inhibitor resistance,n/a,map01521,1,31,0.0231210971469815,0.041512878968444,Q9LQQ9,,Q9LQQ9
Platinum drug resistance,n/a,map01524,1,115,0.0813291493164328,0.093795661255448,Q9LQQ9,,Q9LQQ9
Thyroid hormone signaling pathway,n/a,map04919,1,78,0.0561250493460047,0.0771109373623369,Q9LQQ9,,Q9LQQ9
Phospholipase D signaling pathway,n/a,map04072,1,81,0.0581938453585277,0.0756759470505957,Q9LQQ9,,Q9LQQ9
Glutamatergic synapse,n/a,map04724,1,59,0.0429179334066278,0.0627873470208074,Q9LQQ9,,Q9LQQ9
PD-L1 expression and PD-1 checkpoint pathway in cancer,n/a,map05235,1,54,0.0394121131890103,0.0593058465129869,Q9LQQ9,,Q9LQQ9
Th1 and Th2 cell differentiation,n/a,map04658,1,26,0.0195435850798688,0.0398436960337971,Q9LQQ9,,Q9LQQ9
Th17 cell differentiation,n/a,map04659,1,34,0.0252614057960689,0.0443478012864321,Q9LQQ9,,Q9LQQ9
T cell receptor signaling pathway,n/a,map04660,1,34,0.0252614057960689,0.0443478012864321,Q9LQQ9,,Q9LQQ9
Apoptosis - fly,n/a,map04214,1,27,0.0202601223132952,0.0400137415687581,Q9LQQ9,,Q9LQQ9
Breast cancer,n/a,map05224,3,30,2.02465665286825E-06,0.000159947875576592,"Q9LQQ9, Q7Y1C4, Q7Y1C5",,Q9LQQ9; Q7Y1C4; Q7Y1C5
Chagas disease (American trypanosomiasis),n/a,map05142,1,28,0.0209761417708025,0.040417443899839,Q9LQQ9,,Q9LQQ9
Long-term depression,n/a,map04730,1,19,0.0145132954639877,0.032994254436116,Q9LQQ9,,Q9LQQ9
Type II diabetes mellitus,n/a,map04930,1,39,0.0288182878711583,0.0474300987879481,Q9LQQ9,,Q9LQQ9
C5-Branched dibasic acid metabolism,n/a,map00660,1,11,0.0087331405999917,0.0237902795654946,Q94AR8,,Q94AR8
Endocrine resistance,n/a,map01522,1,16,0.0123496532577156,0.0314716970115977,Q9LQQ9,,Q9LQQ9
Signaling pathways regulating pluripotency of stem cells,n/a,map04550,1,10,0.00800826836364004,0.0225947571688415,Q9LQQ9,,Q9LQQ9
ErbB signaling pathway,n/a,map04012,1,13,0.0101813142508184,0.0268107941938219,Q9LQQ9,,Q9LQQ9
Endometrial cancer,n/a,map05213,1,21,0.0159531192448611,0.0345286690505214,Q9LQQ9,,Q9LQQ9
Prolactin signaling pathway,n/a,map04917,1,10,0.00800826836364004,0.0225947571688415,Q9LQQ9,,Q9LQQ9
"Growth hormone synthesis, secretion and action",n/a,map04935,1,17,0.013071388696401,0.031530983420326,Q9LQQ9,,Q9LQQ9
IL-17 signaling pathway,n/a,map04657,1,29,0.021691643807593,0.040800949066663,Q9LQQ9,,Q9LQQ9
Chronic myeloid leukemia,n/a,map05220,1,22,0.0166722509318609,0.0355975087464056,Q9LQQ9,,Q9LQQ9
TNF signaling pathway,n/a,map04668,1,7,0.00583050549382149,0.0189942240829649,Q9LQQ9,,Q9LQQ9
Thyroid cancer,n/a,map05216,1,9,0.00728287201613463,0.0219179767342718,Q9LQQ9,,Q9LQQ9
Melanoma,n/a,map05218,1,18,0.0137926026410002,0.0325258390638512,Q9LQQ9,,Q9LQQ9
Bladder cancer,n/a,map05219,1,9,0.00728287201613463,0.0219179767342718,Q9LQQ9,,Q9LQQ9
Non-small cell lung cancer,n/a,map05223,1,17,0.013071388696401,0.031530983420326,Q9LQQ9,,Q9LQQ9
Dorso-ventral axis formation,n/a,map04320,1,4,0.00364801552225711,0.0145920620890285,Q9LQQ9,,Q9LQQ9
Relaxin signaling pathway,n/a,map04926,1,6,0.00510353457118825,0.0175295317879944,Q9LQQ9,,Q9LQQ9
"Parathyroid hormone synthesis, secretion and action",n/a,map04928,1,29,0.021691643807593,0.040800949066663,Q9LQQ9,,Q9LQQ9
GnRH secretion,n/a,map04929,1,4,0.00364801552225711,0.0145920620890285,Q9LQQ9,,Q9LQQ9
Cholinergic synapse,n/a,map04725,1,6,0.00510353457118825,0.0175295317879944,Q9LQQ9,,Q9LQQ9
Serotonergic synapse,n/a,map04726,1,7,0.00583050549382149,0.0189942240829649,Q9LQQ9,,Q9LQQ9
Platelet activation,n/a,map04611,1,20,0.0152334675446719,0.0336627674413728,Q9LQQ9,,Q9LQQ9
Leishmaniasis,n/a,map05140,1,10,0.00800826836364004,0.0225947571688415,Q9LQQ9,,Q9LQQ9
Aldosterone-regulated sodium reabsorption,n/a,map04960,1,6,0.00510353457118825,0.0175295317879944,Q9LQQ9,,Q9LQQ9
