#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
"Valine, leucine and isoleucine degradation",n/a,map00280,1,90,0.16603054379519,0.22272390021306,Q9SR86,,Q9SR86
Alcoholism,n/a,map05034,2,144,0.0346877327785992,0.143086897711722,"Q9LQQ9, Q9FX60",,Q9LQQ9; Q9FX60
Vascular smooth muscle contraction,n/a,map04270,1,37,0.0729976166958263,0.172065810783019,Q9LQQ9,,Q9LQQ9
Insulin signaling pathway,n/a,map04910,1,135,0.237681115872258,0.272342945270295,Q9LQQ9,,Q9LQQ9
GnRH signaling pathway,n/a,map04912,2,41,0.00338272003818886,0.0507408005728329,"Q9LMM5, Q9LQQ9",,Q9LMM5; Q9LQQ9
Estrogen signaling pathway,n/a,map04915,1,48,0.0931202458278433,0.194491652678407,Q9LQQ9,,Q9LQQ9
Melanogenesis,n/a,map04916,1,29,0.0580842664594463,0.166676590709715,Q9LQQ9,,Q9LQQ9
Oxytocin signaling pathway,n/a,map04921,2,79,0.0115498311482719,0.112101302321463,"Q9LMM5, Q9LQQ9",,Q9LMM5; Q9LQQ9
Circadian entrainment,n/a,map04713,1,19,0.0391061540245263,0.140272074218409,Q9LQQ9,,Q9LQQ9
C-type lectin receptor signaling pathway,n/a,map04625,1,40,0.0785292945026241,0.175099102607202,Q9LQQ9,,Q9LQQ9
Long-term potentiation,n/a,map04720,1,65,0.123366499734478,0.201539331249396,Q9LQQ9,,Q9LQQ9
RNA transport,n/a,map03013,1,285,0.435079248477128,0.440417644163964,Q9SRU3,,Q9SRU3
HIF-1 signaling pathway,n/a,map04066,1,107,0.19385452737503,0.236933311236147,Q9LQQ9,,Q9LQQ9
Fructose and mannose metabolism,n/a,map00051,1,110,0.198667776736803,0.241030758540974,Q9FJZ3,,Q9FJZ3
TGF-beta signaling pathway,n/a,map04350,1,70,0.132069729597971,0.203658928819301,Q9LQQ9,,Q9LQQ9
Retrograde endocannabinoid signaling,n/a,map04723,1,83,0.154297507530728,0.212159072854751,Q9LQQ9,,Q9LQQ9
Apoptosis,n/a,map04210,1,51,0.0985323336950691,0.197064667390138,Q9LQQ9,,Q9LQQ9
Quorum sensing,n/a,map02024,3,115,0.00176106809173527,0.04151089073376,"Q9LSH2, Q9LTZ0, Q9C5M8",,Q9LSH2; Q9LTZ0; Q9C5M8
Yersinia infection,n/a,map05135,1,59,0.112807827577693,0.194903576443135,Q9LQQ9,,Q9LQQ9
Nucleotide excision repair,n/a,map03420,1,120,0.2145061850349,0.251017876104671,F4IFN6,,F4IFN6
Pentose and glucuronate interconversions,n/a,map00040,2,152,0.0382117403583993,0.143294026343997,"Q9LTZ0, Q9C5M8",,Q9LTZ0; Q9C5M8
Galactose metabolism,n/a,map00052,3,96,0.0010640222177941,0.0351127331872053,"Q9FXB2, O22693, Q9LIB9",,Q9FXB2; O22693; Q9LIB9
mTOR signaling pathway,n/a,map04150,1,103,0.187392045429097,0.234240056786371,Q9LQQ9,,Q9LQQ9
Two-component system,n/a,map02020,2,99,0.0175402184892488,0.103362001811645,"Q42059, Q9STW8",,Q42059; Q9STW8
MAPK signaling pathway - fly,n/a,map04013,1,100,0.182511349260568,0.229880707083922,Q9LQQ9,,Q9LQQ9
Focal adhesion,n/a,map04510,1,81,0.150915118468381,0.21282901322464,Q9LQQ9,,Q9LQQ9
Adherens junction,n/a,map04520,1,51,0.0985323336950691,0.197064667390138,Q9LQQ9,,Q9LQQ9
MAPK signaling pathway,n/a,map04010,2,81,0.0120993543227429,0.107913160175815,"Q9LMM5, Q9LQQ9",,Q9LMM5; Q9LQQ9
VEGF signaling pathway,n/a,map04370,1,57,0.109260201170034,0.195955795576691,Q9LQQ9,,Q9LQQ9
Proteoglycans in cancer,n/a,map05205,1,69,0.130335995199284,0.203843025667127,Q9LQQ9,,Q9LQQ9
Colorectal cancer,n/a,map05210,1,55,0.105698447457022,0.191651031103391,Q9LQQ9,,Q9LQQ9
Renal cell carcinoma,n/a,map05211,1,49,0.094927860956904,0.194572634259493,Q9LQQ9,,Q9LQQ9
Pancreatic cancer,n/a,map05212,1,65,0.123366499734478,0.201539331249396,Q9LQQ9,,Q9LQQ9
AGE-RAGE signaling pathway in diabetic complications,n/a,map04933,1,41,0.0803658721427714,0.174478538204701,Q9LQQ9,,Q9LQQ9
Axon guidance,n/a,map04360,1,79,0.147519257495812,0.215404225546982,Q9LQQ9,,Q9LQQ9
Osteoclast differentiation,n/a,map04380,1,61,0.116341382459262,0.195880899038553,Q9LQQ9,,Q9LQQ9
Chemokine signaling pathway,n/a,map04062,1,37,0.0729976166958263,0.172065810783019,Q9LQQ9,,Q9LQQ9
Toll-like receptor signaling pathway,n/a,map04620,1,31,0.0618348550940898,0.168640513892972,Q9LQQ9,,Q9LQQ9
Natural killer cell mediated cytotoxicity,n/a,map04650,1,54,0.103912255346178,0.195948824367078,Q9LQQ9,,Q9LQQ9
B cell receptor signaling pathway,n/a,map04662,1,58,0.111035776803666,0.196998958845214,Q9LQQ9,,Q9LQQ9
Fc epsilon RI signaling pathway,n/a,map04664,1,34,0.0674328691820284,0.168582172955071,Q9LQQ9,,Q9LQQ9
Insulin resistance,n/a,map04931,3,75,0.000532206251250295,0.0219535078640747,"Q9FIF5, Q9LNW3, Q9ZW21",,Q9FIF5; Q9LNW3; Q9ZW21
Gap junction,n/a,map04540,2,36,0.00265081108245663,0.0437383828605343,"Q9LMM5, Q9LQQ9",,Q9LMM5; Q9LQQ9
Central carbon metabolism in cancer,n/a,map05230,1,94,0.172662203479622,0.22432491003258,Q9LQQ9,,Q9LQQ9
DNA replication,n/a,map03030,1,78,0.145816258300217,0.217734684339691,F4IFN6,,F4IFN6
Sphingolipid metabolism,n/a,map00600,1,37,0.0729976166958263,0.172065810783019,Q9ZPH4,,Q9ZPH4
Inositol phosphate metabolism,n/a,map00562,1,127,0.225407192873603,0.261916808620736,O82200,,O82200
EGFR tyrosine kinase inhibitor resistance,n/a,map01521,1,31,0.0618348550940898,0.168640513892972,Q9LQQ9,,Q9LQQ9
Systemic lupus erythematosus,n/a,map05322,1,91,0.167693405180667,0.221355294838481,Q9FX60,,Q9FX60
Platinum drug resistance,n/a,map01524,1,115,0.206626340774137,0.248856541808267,Q9LQQ9,,Q9LQQ9
Thyroid hormone signaling pathway,n/a,map04919,1,78,0.145816258300217,0.217734684339691,Q9LQQ9,,Q9LQQ9
Phospholipase D signaling pathway,n/a,map04072,1,81,0.150915118468381,0.21282901322464,Q9LQQ9,,Q9LQQ9
Glutamatergic synapse,n/a,map04724,1,59,0.112807827577693,0.194903576443135,Q9LQQ9,,Q9LQQ9
PD-L1 expression and PD-1 checkpoint pathway in cancer,n/a,map05235,1,54,0.103912255346178,0.195948824367078,Q9LQQ9,,Q9LQQ9
Th1 and Th2 cell differentiation,n/a,map04658,1,26,0.0524303673335728,0.161701132897935,Q9LQQ9,,Q9LQQ9
Th17 cell differentiation,n/a,map04659,1,34,0.0674328691820284,0.168582172955071,Q9LQQ9,,Q9LQQ9
T cell receptor signaling pathway,n/a,map04660,1,34,0.0674328691820284,0.168582172955071,Q9LQQ9,,Q9LQQ9
Apoptosis - fly,n/a,map04214,1,27,0.0543187457283462,0.162956237185039,Q9LQQ9,,Q9LQQ9
Herpes simplex virus 1 infection,n/a,map05168,1,82,0.152607993674239,0.211599318960079,Q9SRU3,,Q9SRU3
"Alanine, aspartate and glutamate metabolism",n/a,map00250,2,97,0.0168928106656426,0.103233842956705,"Q9LSH2, Q9SR86",,Q9LSH2; Q9SR86
Breast cancer,n/a,map05224,1,30,0.0599614235975034,0.167688727009967,Q9LQQ9,,Q9LQQ9
Chagas disease (American trypanosomiasis),n/a,map05142,1,28,0.0562033763140135,0.165599233782361,Q9LQQ9,,Q9LQQ9
Long-term depression,n/a,map04730,1,19,0.0391061540245263,0.140272074218409,Q9LQQ9,,Q9LQQ9
Base excision repair,n/a,map03410,1,68,0.128598811813789,0.204026961050723,F4IFN6,,F4IFN6
Sesquiterpenoid and triterpenoid biosynthesis,n/a,map00909,3,30,4.07786039953888E-05,0.00336423482961958,"B6EXY6, Q9FI37, Q9T0J9",,B6EXY6; Q9FI37; Q9T0J9
Type II diabetes mellitus,n/a,map04930,1,39,0.0766890642307019,0.173338295863915,Q9LQQ9,,Q9LQQ9
Butanoate metabolism,n/a,map00650,1,34,0.0674328691820284,0.168582172955071,Q9LSH2,,Q9LSH2
Endocrine resistance,n/a,map01522,1,16,0.0333388126476873,0.141048822740215,Q9LQQ9,,Q9LQQ9
Signaling pathways regulating pluripotency of stem cells,n/a,map04550,1,10,0.021700506830171,0.108502534150855,Q9LQQ9,,Q9LQQ9
ErbB signaling pathway,n/a,map04012,1,13,0.0275369986425211,0.122800129081513,Q9LQQ9,,Q9LQQ9
Endometrial cancer,n/a,map05213,1,21,0.0429319976170773,0.141675592136355,Q9LQQ9,,Q9LQQ9
Prolactin signaling pathway,n/a,map04917,1,10,0.021700506830171,0.108502534150855,Q9LQQ9,,Q9LQQ9
"Growth hormone synthesis, secretion and action",n/a,map04935,1,17,0.0352650799601418,0.140210558877672,Q9LQQ9,,Q9LQQ9
IL-17 signaling pathway,n/a,map04657,2,29,0.00176955257501849,0.0364970218597564,"Q9LMM5, Q9LQQ9",,Q9LMM5; Q9LQQ9
Chronic myeloid leukemia,n/a,map05220,1,22,0.0448392267739339,0.145068086621551,Q9LQQ9,,Q9LQQ9
Taurine and hypotaurine metabolism,n/a,map00430,1,14,0.0294747795735008,0.127982595516517,Q9LSH2,,Q9LSH2
TNF signaling pathway,n/a,map04668,1,7,0.015829130798273,0.106604350274084,Q9LQQ9,,Q9LQQ9
Thyroid cancer,n/a,map05216,1,9,0.0197472677418844,0.106829481226588,Q9LQQ9,,Q9LQQ9
Melanoma,n/a,map05218,1,18,0.0371875245728644,0.142696315221457,Q9LQQ9,,Q9LQQ9
Bladder cancer,n/a,map05219,1,9,0.0197472677418844,0.106829481226588,Q9LQQ9,,Q9LQQ9
Non-small cell lung cancer,n/a,map05223,1,17,0.0352650799601418,0.140210558877672,Q9LQQ9,,Q9LQQ9
Dorso-ventral axis formation,n/a,map04320,1,4,0.00992266290270393,0.121276991033048,Q9LQQ9,,Q9LQQ9
Relaxin signaling pathway,n/a,map04926,1,6,0.0138642175491763,0.103981631618823,Q9LQQ9,,Q9LQQ9
"Parathyroid hormone synthesis, secretion and action",n/a,map04928,1,29,0.0580842664594463,0.166676590709715,Q9LQQ9,,Q9LQQ9
GnRH secretion,n/a,map04929,1,4,0.00992266290270393,0.121276991033048,Q9LQQ9,,Q9LQQ9
Cholinergic synapse,n/a,map04725,1,6,0.0138642175491763,0.103981631618823,Q9LQQ9,,Q9LQQ9
Serotonergic synapse,n/a,map04726,1,7,0.015829130798273,0.106604350274084,Q9LQQ9,,Q9LQQ9
Platelet activation,n/a,map04611,1,20,0.0410209758639818,0.139555897269217,Q9LQQ9,,Q9LQQ9
Leishmaniasis,n/a,map05140,1,10,0.021700506830171,0.108502534150855,Q9LQQ9,,Q9LQQ9
Aldosterone-regulated sodium reabsorption,n/a,map04960,1,6,0.0138642175491763,0.103981631618823,Q9LQQ9,,Q9LQQ9
