#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,23,3837,1.22969251110563E-11,1.10672325999507E-09,"Q5XEP9, Q39103, Q9SHH6, Q8L743, Q42588, Q9XIF8, Q9S7H8, Q9FRL8, Q8GYB8, Q8VYZ3, Q9M9K1, Q93WC9, Q39161, Q9ZW24, Q9ZW30, Q9SJQ9, O22893, P46422, Q9SVQ9, F4JTY4, Q9SZB9, Q9T003, Q93YQ7",,Q5XEP9; Q39103; Q9SHH6; Q8L743; Q42588; Q9XIF8; Q9S7H8; Q9FRL8; Q8GYB8; Q8VYZ3; Q9M9K1; Q93WC9; Q39161; Q9ZW24; Q9ZW30; Q9SJQ9; O22893; P46422; Q9SVQ9; F4JTY4; Q9SZB9; Q9T003; Q93YQ7
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.120463017445737,0.159436346619358,Q9M9K1,,Q9M9K1
Autophagy - yeast,n/a,map04138,1,145,0.140278534591309,0.175348168239136,Q9SF09,,Q9SF09
Protein digestion and absorption,n/a,map04974,1,15,0.0164189075467594,0.0568346799695519,Q9SF09,,Q9SF09
Phenylpropanoid biosynthesis,n/a,map00940,1,280,0.252534691995089,0.267389673877153,Q9SZB9,,Q9SZB9
Starch and sucrose metabolism,n/a,map00500,1,276,0.249427744772579,0.267244012256335,Q93YQ7,,Q93YQ7
Plant-pathogen interaction,n/a,map04626,1,339,0.296907404407577,0.307145590766459,Q5XEP9,,Q5XEP9
Ubiquitin mediated proteolysis,n/a,map04120,2,252,0.0287779152742099,0.0835487862799642,"Q9FWT2, Q9C9Y7",,Q9FWT2; Q9C9Y7
Viral carcinogenesis,n/a,map05203,1,227,0.210311788297983,0.233679764775537,Q9SI96,,Q9SI96
RNA degradation,n/a,map03018,1,187,0.176886365385626,0.201516112464638,Q9LDZ0,,Q9LDZ0
Legionellosis,n/a,map05134,1,81,0.0813667936383612,0.139485931951476,Q9T0G2,,Q9T0G2
Tuberculosis,n/a,map05152,2,129,0.0082798594681952,0.0338721523698895,"Q9LDZ0, Q9T0G2",,Q9LDZ0; Q9T0G2
Longevity regulating pathway - worm,n/a,map04212,6,180,4.93596004807792E-08,8.88472808654025E-07,"Q9SHH6, Q9XIF8, Q9LDZ0, Q9ZW24, Q9ZW30, P46422",,Q9SHH6; Q9XIF8; Q9LDZ0; Q9ZW24; Q9ZW30; P46422
Protein processing in endoplasmic reticulum,n/a,map04141,2,364,0.0555504085310691,0.128193250456313,"Q9SSQ8, Q9C9Y7",,Q9SSQ8; Q9C9Y7
Huntington disease,n/a,map05016,1,437,0.364908049151305,0.364908049151305,Q9T0G2,,Q9T0G2
alpha-Linolenic acid metabolism,n/a,map00592,1,71,0.0718069111545271,0.136055200082262,Q8GYB8,,Q8GYB8
Carbon metabolism,n/a,map01200,4,480,0.00167967447665111,0.00944816893116251,"Q8L743, Q42588, Q9M9K1, Q9SJQ9",,Q8L743; Q42588; Q9M9K1; Q9SJQ9
Fatty acid metabolism,n/a,map01212,1,111,0.109464263685271,0.147041548233946,Q9SVQ9,,Q9SVQ9
Hepatitis C,n/a,map05160,1,66,0.0669900246191847,0.133980049238369,Q9T0G2,,Q9T0G2
Methane metabolism,n/a,map00680,2,94,0.00453971452149461,0.0226985726074731,"Q9M9K1, Q9SJQ9",,Q9M9K1; Q9SJQ9
Epstein-Barr virus infection,n/a,map05169,1,154,0.148256645699119,0.177907974838943,Q9T0G2,,Q9T0G2
Nitrogen metabolism,n/a,map00910,1,79,0.07946266406477,0.143032795316586,Q39161,,Q39161
Parkinson disease,n/a,map05012,1,411,0.347530484405343,0.355428904505464,Q9T0G2,,Q9T0G2
Antigen processing and presentation,n/a,map04612,1,78,0.0785091314678115,0.144200445553123,Q9SKY8,,Q9SKY8
Toxoplasmosis,n/a,map05145,1,81,0.0813667936383612,0.139485931951476,Q9T0G2,,Q9T0G2
Drug metabolism - other enzymes,n/a,map00983,5,141,5.0101624318655E-07,4.50914618867895E-06,"Q9SHH6, Q9XIF8, Q9ZW24, Q9ZW30, P46422",,Q9SHH6; Q9XIF8; Q9ZW24; Q9ZW30; P46422
Amino sugar and nucleotide sugar metabolism,n/a,map00520,1,249,0.228118109094285,0.247356985764888,F4JTY4,,F4JTY4
Zeatin biosynthesis,n/a,map00908,1,59,0.060204694581853,0.12749229440863,Q93WC9,,Q93WC9
Alzheimer disease,n/a,map05010,1,426,0.357612758453095,0.36163087933459,Q9T0G2,,Q9T0G2
Biosynthesis of amino acids,n/a,map01230,3,419,0.00980535023367797,0.0367700633762924,"Q42588, Q9M9K1, Q9SJQ9",,Q42588; Q9M9K1; Q9SJQ9
Cysteine and methionine metabolism,n/a,map00270,1,201,0.188741948184382,0.21233469170743,Q42588,,Q42588
Pathways in cancer,n/a,map05200,6,283,6.55669159098022E-07,5.36456584716563E-06,"Q9SHH6, Q9XIF8, Q9ZW24, Q9ZW30, P46422, Q9T0G2",,Q9SHH6; Q9XIF8; Q9ZW24; Q9ZW30; P46422; Q9T0G2
Hepatitis B,n/a,map05161,1,54,0.0553280800540782,0.132787392129788,Q9T0G2,,Q9T0G2
p53 signaling pathway,n/a,map04115,1,54,0.0553280800540782,0.132787392129788,Q9T0G2,,Q9T0G2
Small cell lung cancer,n/a,map05222,1,30,0.0315686287747784,0.0835640173450017,Q9T0G2,,Q9T0G2
Measles,n/a,map05162,1,58,0.0592313737992275,0.130020088827573,Q9T0G2,,Q9T0G2
Pentose phosphate pathway,n/a,map00030,2,104,0.00550306159615263,0.0247637771826868,"Q8L743, Q9SJQ9",,Q8L743; Q9SJQ9
Human immunodeficiency virus 1 infection,n/a,map05170,1,172,0.163993177661108,0.189222897301278,Q9T0G2,,Q9T0G2
Hepatocellular carcinoma,n/a,map05225,5,119,2.22684715049069E-07,2.50520304430202E-06,"Q9SHH6, Q9XIF8, Q9ZW24, Q9ZW30, P46422",,Q9SHH6; Q9XIF8; Q9ZW24; Q9ZW30; P46422
Amyotrophic lateral sclerosis (ALS),n/a,map05014,1,87,0.0870557692280656,0.145092948713443,Q9T0G2,,Q9T0G2
Influenza A,n/a,map05164,1,80,0.0804152178081358,0.14190920789671,Q9T0G2,,Q9T0G2
Kaposi sarcoma-associated herpesvirus infection,n/a,map05167,1,138,0.134022121045047,0.172314155629346,Q9T0G2,,Q9T0G2
Fluid shear stress and atherosclerosis,n/a,map05418,5,197,2.47264569970228E-06,1.85448427477671E-05,"Q9SHH6, Q9XIF8, Q9ZW24, Q9ZW30, P46422",,Q9SHH6; Q9XIF8; Q9ZW24; Q9ZW30; P46422
Human cytomegalovirus infection,n/a,map05163,1,93,0.0927097916273538,0.146383881516874,Q9T0G2,,Q9T0G2
Alcoholism,n/a,map05034,1,144,0.13938751428876,0.176688398394203,Q9SI96,,Q9SI96
Glycerophospholipid metabolism,n/a,map00564,1,164,0.157035093396108,0.183547511761685,Q9ZU49,,Q9ZU49
HIF-1 signaling pathway,n/a,map04066,1,107,0.105767775798281,0.148735934716332,Q9SJQ9,,Q9SJQ9
Fructose and mannose metabolism,n/a,map00051,1,110,0.108541565347666,0.14801122547409,Q9SJQ9,,Q9SJQ9
Carbon fixation in photosynthetic organisms,n/a,map00710,1,125,0.122282995153715,0.15949955889615,Q9SJQ9,,Q9SJQ9
Fatty acid biosynthesis,n/a,map00061,1,65,0.0660236756161528,0.135048427396676,Q9SVQ9,,Q9SVQ9
Apoptosis,n/a,map04210,1,51,0.0523900700944048,0.130975175236012,Q9T0G2,,Q9T0G2
Tight junction,n/a,map04530,1,98,0.0973949303240489,0.143697438183023,Q9SKY8,,Q9SKY8
Pentose and glucuronate interconversions,n/a,map00040,1,152,0.146490103773437,0.179375637273596,Q8VYZ3,,Q8VYZ3
Galactose metabolism,n/a,map00052,1,96,0.0955237620002493,0.143285643000374,O22893,,O22893
Two-component system,n/a,map02020,3,99,0.000172014716160841,0.00119087111188275,"Q8VYZ3, Q9T0G2, Q93YQ7",,Q8VYZ3; Q9T0G2; Q93YQ7
Non-alcoholic fatty liver disease (NAFLD),n/a,map04932,1,160,0.153534537341244,0.181817215272526,Q9T0G2,,Q9T0G2
MAPK signaling pathway - fly,n/a,map04013,1,100,0.0992622582953053,0.144090374944798,Q9C9Y7,,Q9C9Y7
Colorectal cancer,n/a,map05210,1,55,0.0563054070987541,0.126687165972197,Q9T0G2,,Q9T0G2
Viral myocarditis,n/a,map05416,1,36,0.037563493411405,0.0965918402007556,Q9T0G2,,Q9T0G2
Spliceosome,n/a,map03040,1,318,0.281421607433396,0.294510984523321,Q9XFR5,,Q9XFR5
Glutathione metabolism,n/a,map00480,7,172,9.5606062886492E-10,4.30227282989214E-08,"Q9SHH6, Q8L743, Q9XIF8, Q9FRL8, Q9ZW24, Q9ZW30, P46422",,Q9SHH6; Q8L743; Q9XIF8; Q9FRL8; Q9ZW24; Q9ZW30; P46422
Ubiquinone and other terpenoid-quinone biosynthesis,n/a,map00130,1,67,0.0679553817309134,0.132956181647439,Q9S7H8,,Q9S7H8
Central carbon metabolism in cancer,n/a,map05230,1,94,0.0936487454650324,0.14531701882505,Q8L743,,Q8L743
Systemic lupus erythematosus,n/a,map05322,1,91,0.0908289880067358,0.14597515929654,Q9SI96,,Q9SI96
Platinum drug resistance,n/a,map01524,6,115,3.78017033151836E-09,1.13405109945551E-07,"Q9SHH6, Q9XIF8, Q9ZW24, Q9ZW30, P46422, Q9T0G2",,Q9SHH6; Q9XIF8; Q9ZW24; Q9ZW30; P46422; Q9T0G2
Biofilm formation - Vibrio cholerae,n/a,map05111,1,8,0.00926880497669885,0.0362692368653433,Q42588,,Q42588
Apoptosis - fly,n/a,map04214,1,27,0.0285573195341594,0.0856719586024781,Q9T0G2,,Q9T0G2
Apoptosis - multiple species,n/a,map04215,1,6,0.00721646405804367,0.0309277031059015,Q9T0G2,,Q9T0G2
Herpes simplex virus 1 infection,n/a,map05168,2,82,0.0034986749129043,0.0185223965977287,"Q9XFR5, Q9T0G2",,Q9XFR5; Q9T0G2
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,5,89,5.56529026841147E-08,8.34793540261721E-07,"Q9SHH6, Q9XIF8, Q9ZW24, Q9ZW30, P46422",,Q9SHH6; Q9XIF8; Q9ZW24; Q9ZW30; P46422
Drug metabolism - cytochrome P450,n/a,map00982,5,92,6.51786862594423E-08,8.38011680478544E-07,"Q9SHH6, Q9XIF8, Q9ZW24, Q9ZW30, P46422",,Q9SHH6; Q9XIF8; Q9ZW24; Q9ZW30; P46422
Diterpenoid biosynthesis,n/a,map00904,2,40,0.000888995951914688,0.00533397571148812,"Q9FZ21, Q39103",,Q9FZ21; Q39103
Chemical carcinogenesis,n/a,map05204,5,84,4.22580860492231E-08,9.50806936107521E-07,"Q9SHH6, Q9XIF8, Q9ZW24, Q9ZW30, P46422",,Q9SHH6; Q9XIF8; Q9ZW24; Q9ZW30; P46422
Fatty acid elongation,n/a,map00062,1,59,0.060204694581853,0.12749229440863,Q5XEP9,,Q5XEP9
Prodigiosin biosynthesis,n/a,map00333,1,11,0.0123394269320938,0.0444219369555376,Q9SVQ9,,Q9SVQ9
Biotin metabolism,n/a,map00780,1,28,0.0295621199930134,0.0831434624803503,Q9SVQ9,,Q9SVQ9
IL-17 signaling pathway,n/a,map04657,1,29,0.0305658893923404,0.0833615165245646,Q9XFR5,,Q9XFR5
Biosynthesis of siderophore group nonribosomal peptides,n/a,map01053,1,4,0.00515990544055777,0.0244416573500105,Q9S7H8,,Q9S7H8
Toll and Imd signaling pathway,n/a,map04624,1,20,0.0214947581433404,0.0690902940321657,Q9C9Y7,,Q9C9Y7
