#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,8,3837,0.00672699004847684,0.0199271214643559,"Q9SRW9, Q9SA18, Q9FMT1, Q9FIW4, F4J5Z7, O64882, Q9LDA4, Q94AR8",,Q9SRW9; Q9SA18; Q9FMT1; Q9FIW4; F4J5Z7; O64882; Q9LDA4; Q94AR8
cAMP signaling pathway,n/a,map04024,2,97,0.00239171338022338,0.0110440882557373,"Q9LQQ9, O82480",,Q9LQQ9; O82480
MAPK signaling pathway - yeast,n/a,map04011,1,78,0.0555124909732944,0.0744911203658737,Q9LQQ9,,Q9LQQ9
Hepatitis C,n/a,map05160,1,66,0.0472807974253793,0.0656910194317217,Q9LQQ9,,Q9LQQ9
NOD-like receptor signaling pathway,n/a,map04621,2,117,0.00342934017559179,0.0138052925017413,"Q9LQQ9, Q9FJV7",,Q9LQQ9; Q9FJV7
Neurotrophin signaling pathway,n/a,map04722,2,84,0.00181305364710365,0.00948831408650909,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Epstein-Barr virus infection,n/a,map05169,1,154,0.106037809499394,0.113251265927924,O82480,,O82480
Autophagy - animal,n/a,map04140,1,145,0.100196916113689,0.107745998834584,Q9LQQ9,,Q9LQQ9
Parkinson disease,n/a,map05012,1,411,0.257893442702097,0.259546605796341,Q9FJV7,,Q9FJV7
Prion diseases,n/a,map05020,1,20,0.0150636620909364,0.0317448986345907,Q9LQQ9,,Q9LQQ9
Glucosinolate biosynthesis,n/a,map00966,2,47,0.000593567243981698,0.00776583810876056,"Q9FMT1, Q94AR8",,Q9FMT1; Q94AR8
2-Oxocarboxylic acid metabolism,n/a,map01210,2,126,0.00395336486817387,0.0141063246432568,"Q9FMT1, Q94AR8",,Q9FMT1; Q94AR8
Toxoplasmosis,n/a,map05145,1,81,0.0575594032188709,0.073172682634516,Q9LQQ9,,Q9LQQ9
Amino sugar and nucleotide sugar metabolism,n/a,map00520,1,249,0.165451033971919,0.167585886023169,Q9SRW9,,Q9SRW9
Alzheimer disease,n/a,map05010,2,426,0.0386716845409329,0.0572778723860987,"Q9LQQ9, Q9FJV7",,Q9LQQ9; Q9FJV7
Biosynthesis of amino acids,n/a,map01230,2,419,0.037536292474767,0.0561256944622707,"Q9SA18, Q94AR8",,Q9SA18; Q94AR8
Cysteine and methionine metabolism,n/a,map00270,1,201,0.135936617245869,0.140408216497378,Q9SA18,,Q9SA18
"Valine, leucine and isoleucine biosynthesis",n/a,map00290,2,39,0.000415440218285537,0.00652241142708293,"Q9FMT1, Q94AR8",,Q9FMT1; Q94AR8
Cellular senescence,n/a,map04218,2,140,0.00483746980501956,0.0165104947693059,"Q9LQQ9, Q9FJV7",,Q9LQQ9; Q9FJV7
Pathways in cancer,n/a,map05200,4,283,6.02257754160242E-05,0.00236386168507895,"Q9LQQ9, Q7Y1C4, Q7Y1C5, O82480",,Q9LQQ9; Q7Y1C4; Q7Y1C5; O82480
Acute myeloid leukemia,n/a,map05221,1,26,0.0193262086172228,0.0376921087317264,Q9LQQ9,,Q9LQQ9
Hepatitis B,n/a,map05161,1,54,0.0389781827414293,0.0566627286148555,Q9LQQ9,,Q9LQQ9
Progesterone-mediated oocyte maturation,n/a,map04914,3,65,1.76484148083656E-05,0.000923600374971131,"Q9LQQ9, F4KEC6, O22806",,Q9LQQ9; F4KEC6; O22806
Choline metabolism in cancer,n/a,map05231,2,96,0.0023444938661873,0.0111541071815578,"Q9LQQ9, O82480",,Q9LQQ9; O82480
FoxO signaling pathway,n/a,map04068,1,90,0.0636738622620428,0.0774945455437265,Q9LQQ9,,Q9LQQ9
Prostate cancer,n/a,map05215,1,43,0.0313046346381598,0.0486616597840701,Q9LQQ9,,Q9LQQ9
Gastric cancer,n/a,map05226,1,54,0.0389781827414293,0.0566627286148555,Q9LQQ9,,Q9LQQ9
Cushing syndrome,n/a,map04934,1,24,0.0179073900807121,0.0355881043376177,Q9LQQ9,,Q9LQQ9
MicroRNAs in cancer,n/a,map05206,1,95,0.0670538201779156,0.0797534073328239,Q9LQQ9,,Q9LQQ9
Human immunodeficiency virus 1 infection,n/a,map05170,2,172,0.00716501892635584,0.0204528722079612,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Pancreatic secretion,n/a,map04972,1,63,0.0452118161297492,0.0639482444357714,O82480,,O82480
Hepatocellular carcinoma,n/a,map05225,1,119,0.0831104518841438,0.0945531952594969,Q9LQQ9,,Q9LQQ9
Phagosome,n/a,map04145,1,159,0.109266537014533,0.115133196720011,O82480,,O82480
Amyotrophic lateral sclerosis (ALS),n/a,map05014,1,87,0.0616400795616719,0.0756054100873631,O82480,,O82480
Lysine biosynthesis,n/a,map00300,1,30,0.0221577690582918,0.039087300473616,Q9SA18,,Q9SA18
Calcium signaling pathway,n/a,map04020,1,80,0.056877586922018,0.0741060676079405,Q9FJV7,,Q9FJV7
cGMP-PKG signaling pathway,n/a,map04022,1,78,0.0555124909732944,0.0744911203658737,Q9LQQ9,,Q9LQQ9
Influenza A,n/a,map05164,1,80,0.056877586922018,0.0741060676079405,Q9LQQ9,,Q9LQQ9
Apelin signaling pathway,n/a,map04371,1,69,0.0493453461906267,0.0679580644905999,Q9LQQ9,,Q9LQQ9
Kaposi sarcoma-associated herpesvirus infection,n/a,map05167,2,138,0.00470608287825095,0.01641900026412,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Ras signaling pathway,n/a,map04014,2,71,0.00131158334103186,0.00823674338168006,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Axon regeneration,n/a,map04361,2,87,0.00193979266459093,0.00982411123679922,"O48771, O82480",,O48771; O82480
Rap1 signaling pathway,n/a,map04015,2,54,0.000774739723667536,0.00784736365263246,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Glioma,n/a,map05214,1,34,0.0249812463972033,0.0426310400474013,Q9LQQ9,,Q9LQQ9
Fluid shear stress and atherosclerosis,n/a,map05418,1,197,0.133431004210372,0.138732898417407,O82480,,O82480
Pertussis,n/a,map05133,1,38,0.0277966634563335,0.0449904759035502,Q9LQQ9,,Q9LQQ9
Human cytomegalovirus infection,n/a,map05163,2,93,0.00220553065931889,0.0108208847972833,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Alcoholism,n/a,map05034,1,144,0.0995456035784492,0.107783860426321,Q9LQQ9,,Q9LQQ9
Vascular smooth muscle contraction,n/a,map04270,1,37,0.0270935635975674,0.0443092654668551,Q9LQQ9,,Q9LQQ9
Insulin signaling pathway,n/a,map04910,1,135,0.0936627772671219,0.10283255965691,Q9LQQ9,,Q9LQQ9
GnRH signaling pathway,n/a,map04912,1,41,0.0299029503659681,0.0469476320745699,Q9LQQ9,,Q9LQQ9
Estrogen signaling pathway,n/a,map04915,1,48,0.0348000914346348,0.0533035546852454,Q9LQQ9,,Q9LQQ9
Melanogenesis,n/a,map04916,1,29,0.0214506376328042,0.0387097713603478,Q9LQQ9,,Q9LQQ9
Oxytocin signaling pathway,n/a,map04921,1,79,0.056195282950562,0.0741399951532625,Q9LQQ9,,Q9LQQ9
Circadian entrainment,n/a,map04713,1,19,0.0143514590492668,0.0310783320101365,Q9LQQ9,,Q9LQQ9
C-type lectin receptor signaling pathway,n/a,map04625,1,40,0.0292013564825773,0.0463092218966125,Q9LQQ9,,Q9LQQ9
Long-term potentiation,n/a,map04720,1,65,0.046591629952694,0.0653114812729728,Q9LQQ9,,Q9LQQ9
HIF-1 signaling pathway,n/a,map04066,1,107,0.0751165837444702,0.086715467999131,Q9LQQ9,,Q9LQQ9
Wnt signaling pathway,n/a,map04310,1,158,0.108621715116671,0.115227089684576,O82480,,O82480
TGF-beta signaling pathway,n/a,map04350,1,70,0.0500325457355692,0.0683053015694292,Q9LQQ9,,Q9LQQ9
Retrograde endocannabinoid signaling,n/a,map04723,1,83,0.0589215742463076,0.0728400563517346,Q9LQQ9,,Q9LQQ9
Apoptosis,n/a,map04210,1,51,0.0368913769886717,0.0556917902617448,Q9LQQ9,,Q9LQQ9
Tight junction,n/a,map04530,1,98,0.0690760020133853,0.0809323307171753,O82480,,O82480
Yersinia infection,n/a,map05135,2,59,0.000918474017534838,0.00686668670252236,"Q9LQQ9, O82480",,Q9LQQ9; O82480
SNARE interactions in vesicular transport,n/a,map04130,1,93,0.0657032869310595,0.0793493542167411,Q9LFP1,,Q9LFP1
Galactose metabolism,n/a,map00052,1,96,0.0677283628441096,0.0799500223047008,F4J5Z7,,F4J5Z7
mTOR signaling pathway,n/a,map04150,1,103,0.0724366798466213,0.0842411758216262,Q9LQQ9,,Q9LQQ9
Epithelial cell signaling in Helicobacter pylori infection,n/a,map05120,1,82,0.0582407322392189,0.0725698012822014,O82480,,O82480
Non-alcoholic fatty liver disease (NAFLD),n/a,map04932,1,160,0.109910897660901,0.115040072885077,O82480,,O82480
MAPK signaling pathway - fly,n/a,map04013,2,100,0.0025360580493813,0.0113760318215104,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Ribosome biogenesis in eukaryotes,n/a,map03008,1,140,0.0969356892385205,0.105686827850331,Q94AH9,,Q94AH9
Focal adhesion,n/a,map04510,2,81,0.00169042522591257,0.0093121670339745,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Adherens junction,n/a,map04520,2,51,0.000694218275236049,0.00778516208657569,"Q9LQQ9, O82480",,Q9LQQ9; O82480
MAPK signaling pathway,n/a,map04010,2,81,0.00169042522591257,0.0093121670339745,"Q9LQQ9, O82480",,Q9LQQ9; O82480
VEGF signaling pathway,n/a,map04370,2,57,0.000859554641273834,0.00710263571999958,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Proteoglycans in cancer,n/a,map05205,2,69,0.00124137889551643,0.00812068694150334,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Colorectal cancer,n/a,map05210,2,55,0.00080253522785533,0.00741164886901687,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Renal cell carcinoma,n/a,map05211,2,49,0.000642931756711096,0.00776463736951093,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Pancreatic cancer,n/a,map05212,4,65,2.12054106751646E-07,3.32924947600084E-05,"Q9LQQ9, Q7Y1C4, Q7Y1C5, O82480",,Q9LQQ9; Q7Y1C4; Q7Y1C5; O82480
Viral myocarditis,n/a,map05416,1,36,0.0263899610353179,0.0438436389687291,O82480,,O82480
AGE-RAGE signaling pathway in diabetic complications,n/a,map04933,2,41,0.00045706119480417,0.00652350978038679,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Axon guidance,n/a,map04360,2,79,0.00161096550810575,0.00936746610268896,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Osteoclast differentiation,n/a,map04380,2,61,0.000979287875657348,0.00698855438537289,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Chemokine signaling pathway,n/a,map04062,2,37,0.000375769063117223,0.00655508254548934,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Toll-like receptor signaling pathway,n/a,map04620,2,31,0.000268510567378649,0.00702602651307465,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Natural killer cell mediated cytotoxicity,n/a,map04650,2,54,0.000774739723667536,0.00784736365263246,"Q9LQQ9, O82480",,Q9LQQ9; O82480
B cell receptor signaling pathway,n/a,map04662,2,58,0.000888777176820654,0.00697690083804214,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Fc epsilon RI signaling pathway,n/a,map04664,2,34,0.000319930494679682,0.00627863595808876,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Leukocyte transendothelial migration,n/a,map04670,1,27,0.0200348577718917,0.0378972610865902,O82480,,O82480
Gap junction,n/a,map04540,1,36,0.0263899610353179,0.0438436389687291,Q9LQQ9,,Q9LQQ9
Central carbon metabolism in cancer,n/a,map05230,1,94,0.0663787949923324,0.0795532123190549,Q9LQQ9,,Q9LQQ9
Fanconi anemia pathway,n/a,map03460,2,75,0.0014575723324639,0.00880149446910893,"Q7Y1C4, Q7Y1C5",,Q7Y1C4; Q7Y1C5
Homologous recombination,n/a,map03440,2,104,0.00273476074438766,0.011763217448462,"Q7Y1C4, Q7Y1C5",,Q7Y1C4; Q7Y1C5
EGFR tyrosine kinase inhibitor resistance,n/a,map01521,1,31,0.0228643952987538,0.0398856673544927,Q9LQQ9,,Q9LQQ9
Platinum drug resistance,n/a,map01524,1,115,0.0804534482224182,0.0921984771599975,Q9LQQ9,,Q9LQQ9
Thyroid hormone signaling pathway,n/a,map04919,1,78,0.0555124909732944,0.0744911203658737,Q9LQQ9,,Q9LQQ9
Phospholipase D signaling pathway,n/a,map04072,1,81,0.0575594032188709,0.073172682634516,Q9LQQ9,,Q9LQQ9
Glutamatergic synapse,n/a,map04724,1,59,0.0424462630385697,0.060582393609595,Q9LQQ9,,Q9LQQ9
PD-L1 expression and PD-1 checkpoint pathway in cancer,n/a,map05235,1,54,0.0389781827414293,0.0566627286148555,Q9LQQ9,,Q9LQQ9
Th1 and Th2 cell differentiation,n/a,map04658,1,26,0.0193262086172228,0.0376921087317264,Q9LQQ9,,Q9LQQ9
Th17 cell differentiation,n/a,map04659,1,34,0.0249812463972033,0.0426310400474013,Q9LQQ9,,Q9LQQ9
T cell receptor signaling pathway,n/a,map04660,1,34,0.0249812463972033,0.0426310400474013,Q9LQQ9,,Q9LQQ9
Apoptosis - fly,n/a,map04214,1,27,0.0200348577718917,0.0378972610865902,Q9LQQ9,,Q9LQQ9
Breast cancer,n/a,map05224,3,30,1.95681902171102E-06,0.000153610293204315,"Q9LQQ9, Q7Y1C4, Q7Y1C5",,Q9LQQ9; Q7Y1C4; Q7Y1C5
Chagas disease (American trypanosomiasis),n/a,map05142,1,28,0.0207430006499809,0.0383135423770236,Q9LQQ9,,Q9LQQ9
Long-term depression,n/a,map04730,1,19,0.0143514590492668,0.0310783320101365,Q9LQQ9,,Q9LQQ9
Type II diabetes mellitus,n/a,map04930,1,39,0.0284992609664718,0.0456569793034294,Q9LQQ9,,Q9LQQ9
C5-Branched dibasic acid metabolism,n/a,map00660,1,11,0.00863547563544387,0.0218672528187853,Q94AR8,,Q94AR8
Endocrine resistance,n/a,map01522,1,16,0.0122117936808528,0.0290492667862712,Q9LQQ9,,Q9LQQ9
Signaling pathways regulating pluripotency of stem cells,n/a,map04550,1,10,0.0079186774120695,0.0210717348083883,Q9LQQ9,,Q9LQQ9
ErbB signaling pathway,n/a,map04012,1,13,0.0100675363817855,0.0250889398720686,Q9LQQ9,,Q9LQQ9
Endometrial cancer,n/a,map05213,1,21,0.0157753563527026,0.0325885650970305,Q9LQQ9,,Q9LQQ9
Prolactin signaling pathway,n/a,map04917,1,10,0.0079186774120695,0.0210717348083883,Q9LQQ9,,Q9LQQ9
"Growth hormone synthesis, secretion and action",n/a,map04935,1,17,0.0129255252026779,0.0296249263769406,Q9LQQ9,,Q9LQQ9
IL-17 signaling pathway,n/a,map04657,1,29,0.0214506376328042,0.0387097713603478,Q9LQQ9,,Q9LQQ9
Chronic myeloid leukemia,n/a,map05220,1,22,0.0164865422008298,0.0336154172146789,Q9LQQ9,,Q9LQQ9
TNF signaling pathway,n/a,map04668,1,7,0.00576520700618703,0.0179235148509181,Q9LQQ9,,Q9LQQ9
Thyroid cancer,n/a,map05216,1,9,0.00720136680987118,0.0200108776840668,Q9LQQ9,,Q9LQQ9
Melanoma,n/a,map05218,1,18,0.0136387468688635,0.0301589191325572,Q9LQQ9,,Q9LQQ9
Bladder cancer,n/a,map05219,1,9,0.00720136680987118,0.0200108776840668,Q9LQQ9,,Q9LQQ9
Non-small cell lung cancer,n/a,map05223,1,17,0.0129255252026779,0.0296249263769406,Q9LQQ9,,Q9LQQ9
Dorso-ventral axis formation,n/a,map04320,1,4,0.00360711538061545,0.0133251085825088,Q9LQQ9,,Q9LQQ9
Relaxin signaling pathway,n/a,map04926,1,6,0.00504635708272293,0.0165057929580729,Q9LQQ9,,Q9LQQ9
"Parathyroid hormone synthesis, secretion and action",n/a,map04928,1,29,0.0214506376328042,0.0387097713603478,Q9LQQ9,,Q9LQQ9
GnRH secretion,n/a,map04929,1,4,0.00360711538061545,0.0133251085825088,Q9LQQ9,,Q9LQQ9
Cholinergic synapse,n/a,map04725,1,6,0.00504635708272293,0.0165057929580729,Q9LQQ9,,Q9LQQ9
Serotonergic synapse,n/a,map04726,1,7,0.00576520700618703,0.0179235148509181,Q9LQQ9,,Q9LQQ9
Platelet activation,n/a,map04611,1,20,0.0150636620909364,0.0317448986345907,Q9LQQ9,,Q9LQQ9
Leishmaniasis,n/a,map05140,1,10,0.0079186774120695,0.0210717348083883,Q9LQQ9,,Q9LQQ9
Aldosterone-regulated sodium reabsorption,n/a,map04960,1,6,0.00504635708272293,0.0165057929580729,Q9LQQ9,,Q9LQQ9
