#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,26,3837,6.42294544673075E-07,7.25792835480575E-05,"Q9SHH6, Q8L743, Q9C6C8, Q42588, Q9FXB2, Q94AM5, Q9S7H8, Q8GYB8, P13114, Q43314, Q8VYZ3, Q96242, Q84JF0, Q1PET6, Q94A08, Q93WC9, O82200, O82191, Q6NLQ7, O64749, O80822, F4JTY4, O81862, O81772, Q93YQ7, P42734",,Q9SHH6; Q8L743; Q9C6C8; Q42588; Q9FXB2; Q94AM5; Q9S7H8; Q8GYB8; P13114; Q43314; Q8VYZ3; Q96242; Q84JF0; Q1PET6; Q94A08; Q93WC9; O82200; O82191; Q6NLQ7; O64749; O80822; F4JTY4; O81862; O81772; Q93YQ7; P42734
Human T-cell leukemia virus 1 infection,n/a,map05166,1,168,0.31252035129329,0.349651482140017,Q9SUA6,,Q9SUA6
RNA degradation,n/a,map03018,2,187,0.0662270707293219,0.20226105384901,"Q9LJE4, O04319",,Q9LJE4; O04319
Type I diabetes mellitus,n/a,map04940,1,19,0.0433510723374941,0.153083474191776,Q9LJE4,,Q9LJE4
Legionellosis,n/a,map05134,1,81,0.166193014070712,0.264504374506907,Q9LJE4,,Q9LJE4
Tuberculosis,n/a,map05152,2,129,0.0344740924883677,0.139127587542341,"Q9LJE4, Q9SUA6",,Q9LJE4; Q9SUA6
Longevity regulating pathway - worm,n/a,map04212,4,180,0.000793682671486834,0.0298953806260041,"Q9SHH6, Q9C6C8, Q39152, Q9LJE4",,Q9SHH6; Q9C6C8; Q39152; Q9LJE4
Protein processing in endoplasmic reticulum,n/a,map04141,2,364,0.194652654933792,0.281996794968185,"Q9SY65, Q9SSQ8",,Q9SY65; Q9SSQ8
alpha-Linolenic acid metabolism,n/a,map00592,2,71,0.0115662137342595,0.130698215197132,"Q8GYB8, Q96242",,Q8GYB8; Q96242
AMPK signaling pathway,n/a,map04152,1,141,0.270080582489961,0.339101175792951,Q93ZH9,,Q93ZH9
mRNA surveillance pathway,n/a,map03015,1,196,0.35393657267505,0.392106203061575,O04319,,O04319
Peroxisome,n/a,map04146,1,144,0.274922149419324,0.339521342998727,Q39152,,Q39152
Carbon metabolism,n/a,map01200,4,480,0.0232532151646905,0.125124443505239,"Q8L743, Q42588, Q43314, O82191",,Q8L743; Q42588; Q43314; O82191
PPAR signaling pathway,n/a,map03320,1,64,0.134166551034322,0.256963055370819,O82191,,O82191
NOD-like receptor signaling pathway,n/a,map04621,1,117,0.230170445695892,0.317186101995559,Q1PE15,,Q1PE15
Circadian rhythm - plant,n/a,map04712,2,71,0.0115662137342595,0.130698215197132,"Q6R0H1, P13114",,Q6R0H1; P13114
Nitrogen metabolism,n/a,map00910,1,79,0.162487316557016,0.270015687807983,Q43314,,Q43314
Parkinson disease,n/a,map05012,1,411,0.599258684419697,0.60460920838773,Q1PE15,,Q1PE15
Glucosinolate biosynthesis,n/a,map00966,1,47,0.100914683768246,0.228067185316237,Q9FG67,,Q9FG67
2-Oxocarboxylic acid metabolism,n/a,map01210,1,126,0.245385335654113,0.32621815210488,Q9FG67,,Q9FG67
Drug metabolism - other enzymes,n/a,map00983,2,141,0.0404063970917844,0.147287834560375,"Q9SHH6, Q9C6C8",,Q9SHH6; Q9C6C8
Amino sugar and nucleotide sugar metabolism,n/a,map00520,3,249,0.0188733426089609,0.125452218518387,"O64749, F4JTY4, O81862",,O64749; F4JTY4; O81862
Zeatin biosynthesis,n/a,map00908,1,59,0.124515852925973,0.253518763615045,Q93WC9,,Q93WC9
Alzheimer disease,n/a,map05010,3,426,0.0707263723056124,0.199802001763355,"F4J3D9, Q9SUA6, Q1PE15",,F4J3D9; Q9SUA6; Q1PE15
Biosynthesis of amino acids,n/a,map01230,1,419,0.606323568263671,0.606323568263671,Q42588,,Q42588
Longevity regulating pathway,n/a,map04211,1,65,0.136083934187281,0.252089910871521,Q93ZH9,,Q93ZH9
Cysteine and methionine metabolism,n/a,map00270,1,201,0.361066279924448,0.39612125855789,Q42588,,Q42588
Flavonoid biosynthesis,n/a,map00941,1,41,0.0888774670982418,0.218329430045681,P13114,,P13114
Cellular senescence,n/a,map04218,2,140,0.0398982265752578,0.150283320100138,"Q9SUA6, Q1PE15",,Q9SUA6; Q1PE15
Pathways in cancer,n/a,map05200,3,283,0.0261701340382856,0.123217714430261,"Q9SY65, Q9SHH6, Q9C6C8",,Q9SY65; Q9SHH6; Q9C6C8
Terpenoid backbone biosynthesis,n/a,map00900,1,105,0.209407477850648,0.292136357989175,Q1PET6,,Q1PET6
"Cutin, suberine and wax biosynthesis",n/a,map00073,2,52,0.00647392706025234,0.146310751561703,"Q39152, Q9FFQ7",,Q39152; Q9FFQ7
Pentose phosphate pathway,n/a,map00030,1,104,0.207652252495351,0.293308806649683,Q8L743,,Q8L743
Human immunodeficiency virus 1 infection,n/a,map05170,2,172,0.0573122815781145,0.185036794809341,"Q9SY65, Q9SUA6",,Q9SY65; Q9SUA6
Hepatocellular carcinoma,n/a,map05225,2,119,0.0298172863429942,0.129590513721475,"Q9SHH6, Q9C6C8",,Q9SHH6; Q9C6C8
Thermogenesis,n/a,map04714,1,259,0.438258006651697,0.458547729181868,Q94AM5,,Q94AM5
Amyotrophic lateral sclerosis (ALS),n/a,map05014,1,87,0.177212377649829,0.27060809019501,Q9SUA6,,Q9SUA6
Necroptosis,n/a,map04217,1,122,0.238660505471495,0.324923338774445,Q43314,,Q43314
Calcium signaling pathway,n/a,map04020,2,80,0.0144272282139481,0.135856399014678,"Q9SUA6, Q1PE15",,Q9SUA6; Q1PE15
cGMP-PKG signaling pathway,n/a,map04022,1,78,0.160628319312813,0.275015152762846,Q9SUA6,,Q9SUA6
Kaposi sarcoma-associated herpesvirus infection,n/a,map05167,1,138,0.265206807301724,0.336723249720167,Q9SUA6,,Q9SUA6
Fluid shear stress and atherosclerosis,n/a,map05418,2,197,0.0724088178388969,0.199565766238911,"Q9SHH6, Q9C6C8",,Q9SHH6; Q9C6C8
Human cytomegalovirus infection,n/a,map05163,1,93,0.188086644572952,0.279655142588731,Q9SUA6,,Q9SUA6
Amphetamine addiction,n/a,map05031,1,65,0.136083934187281,0.252089910871521,Q9SUA6,,Q9SUA6
Alcoholism,n/a,map05034,1,144,0.274922149419324,0.339521342998727,Q9M0Y3,,Q9M0Y3
Insulin signaling pathway,n/a,map04910,1,135,0.260300610644117,0.334249647758923,Q501E6,,Q501E6
Oxytocin signaling pathway,n/a,map04921,1,79,0.162487316557016,0.270015687807983,Q9SUA6,,Q9SUA6
Glucagon signaling pathway,n/a,map04922,1,133,0.257011694918521,0.333819787652791,Q9SUA6,,Q9SUA6
Renin secretion,n/a,map04924,1,42,0.0908947621819459,0.218534215458721,Q9SUA6,,Q9SUA6
C-type lectin receptor signaling pathway,n/a,map04625,1,40,0.0868557122582255,0.2181043441151,Q9SUA6,,Q9SUA6
Long-term potentiation,n/a,map04720,1,65,0.136083934187281,0.252089910871521,Q9SUA6,,Q9SUA6
RNA transport,n/a,map03013,1,285,0.469773864451645,0.48258587893669,O04319,,O04319
Glycerophospholipid metabolism,n/a,map00564,2,164,0.0527450179048141,0.175299618330706,"Q9XI60, Q9FLM1",,Q9XI60; Q9FLM1
Carbon fixation in photosynthetic organisms,n/a,map00710,1,125,0.24370969679802,0.327847568311622,O82191,,O82191
Wnt signaling pathway,n/a,map04310,2,158,0.049409937682943,0.169191604793108,"Q9SY65, Q9SUA6",,Q9SY65; Q9SUA6
TGF-beta signaling pathway,n/a,map04350,1,70,0.145607580870371,0.253133179051569,Q9SY65,,Q9SY65
Circadian rhythm,n/a,map04710,1,60,0.12645452801369,0.250690555535912,Q9SY65,,Q9SY65
Retrograde endocannabinoid signaling,n/a,map04723,1,83,0.169882375690388,0.262968608945396,Q94AM5,,Q94AM5
Pentose and glucuronate interconversions,n/a,map00040,1,152,0.287677141237602,0.343994888464011,Q8VYZ3,,Q8VYZ3
Galactose metabolism,n/a,map00052,2,96,0.0201770339231114,0.120000254384821,"Q9FXB2, Q94A08",,Q9FXB2; Q94A08
Two-component system,n/a,map02020,2,99,0.0213454150238992,0.120601594885031,"Q8VYZ3, Q93YQ7",,Q8VYZ3; Q93YQ7
Non-alcoholic fatty liver disease (NAFLD),n/a,map04932,1,160,0.300208573829228,0.349727513842297,Q93ZH9,,Q93ZH9
MAPK signaling pathway,n/a,map04010,1,81,0.166193014070712,0.264504374506907,Q9SUA6,,Q9SUA6
VEGF signaling pathway,n/a,map04370,1,57,0.120625633517134,0.257182954479927,Q9SUA6,,Q9SUA6
Axon guidance,n/a,map04360,1,79,0.162487316557016,0.270015687807983,Q9SUA6,,Q9SUA6
Osteoclast differentiation,n/a,map04380,1,61,0.128388926054125,0.250137045588208,Q9SUA6,,Q9SUA6
Natural killer cell mediated cytotoxicity,n/a,map04650,1,54,0.114757989631525,0.251799084045871,Q9SUA6,,Q9SUA6
B cell receptor signaling pathway,n/a,map04662,1,58,0.122572891250363,0.256495124283167,Q9SUA6,,Q9SUA6
Riboflavin metabolism,n/a,map00740,1,31,0.0684576026175714,0.198351515276553,Q6NLQ7,,Q6NLQ7
Folate biosynthesis,n/a,map00790,1,43,0.0929076073310622,0.218719992258542,Q6NLQ7,,Q6NLQ7
Glutathione metabolism,n/a,map00480,3,172,0.0071148419191601,0.133996189477515,"Q9SHH6, Q8L743, Q9C6C8",,Q9SHH6; Q8L743; Q9C6C8
Ubiquinone and other terpenoid-quinone biosynthesis,n/a,map00130,1,67,0.139906018948788,0.247021564706454,Q9S7H8,,Q9S7H8
Central carbon metabolism in cancer,n/a,map05230,1,94,0.189885049836073,0.278662475733458,Q8L743,,Q8L743
Inositol phosphate metabolism,n/a,map00562,1,127,0.247057275757507,0.324621769309282,O82200,,O82200
Platinum drug resistance,n/a,map01524,2,115,0.028030958978084,0.12669993458094,"Q9SHH6, Q9C6C8",,Q9SHH6; Q9C6C8
Biofilm formation - Vibrio cholerae,n/a,map05111,1,8,0.0197450229429017,0.123954866252661,Q42588,,Q42588
Glutamatergic synapse,n/a,map04724,1,59,0.124515852925973,0.253518763615045,Q9SUA6,,Q9SUA6
PD-L1 expression and PD-1 checkpoint pathway in cancer,n/a,map05235,1,54,0.114757989631525,0.251799084045871,Q9SUA6,,Q9SUA6
Th1 and Th2 cell differentiation,n/a,map04658,1,26,0.0580773317728951,0.182298291398254,Q9SUA6,,Q9SUA6
Th17 cell differentiation,n/a,map04659,1,34,0.0746309771438292,0.198430598053005,Q9SUA6,,Q9SUA6
T cell receptor signaling pathway,n/a,map04660,1,34,0.0746309771438292,0.198430598053005,Q9SUA6,,Q9SUA6
Adipocytokine signaling pathway,n/a,map04920,1,36,0.0787238987622979,0.202177285457719,Q93ZH9,,Q93ZH9
"Alanine, aspartate and glutamate metabolism",n/a,map00250,1,97,0.195256487711916,0.279290925461348,Q43314,,Q43314
Arginine biosynthesis,n/a,map00220,1,66,0.137997087133255,0.247518584858061,Q43314,,Q43314
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,2,89,0.0175600393523905,0.141734603344295,"Q9SHH6, Q9C6C8",,Q9SHH6; Q9C6C8
Drug metabolism - cytochrome P450,n/a,map00982,2,92,0.0186626649077946,0.131805070911299,"Q9SHH6, Q9C6C8",,Q9SHH6; Q9C6C8
Chemical carcinogenesis,n/a,map05204,2,84,0.0157867413474842,0.137223213251209,"Q9SHH6, Q9C6C8",,Q9SHH6; Q9C6C8
Proximal tubule bicarbonate reclamation,n/a,map04964,1,14,0.0326920926529786,0.136822461843948,Q43314,,Q43314
Regulation of lipolysis in adipocytes,n/a,map04923,1,4,0.0110178721196092,0.166002606602112,Q94AM5,,Q94AM5
Biosynthesis of siderophore group nonribosomal peptides,n/a,map01053,1,4,0.0110178721196092,0.166002606602112,Q9S7H8,,Q9S7H8
D-Glutamine and D-glutamate metabolism,n/a,map00471,1,7,0.0175704549617441,0.132364094045139,Q43314,,Q43314
